source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
2769050,#Farmers protesting the three contentious #farmlaws will start holding a stir at #JantarMantar from Thursday under heavy security with Delhi Lt Governor #AnilBaijal giving special permission for demonstrations by a maximum of 200 peasants till August 9 https://t.co/m2fqGhouMh,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.5081}, {'text': 'protesting', 'score': 0.3535}, {'text': 'start', 'score': 0.2262}]"
3931425,"In a Democracy-
Protest Matters
Sacrifice Matters
Speaking Up Matters
Fighting for what is right Matters
Standing up to authoritarianism Matters
Thank You #Farmers for showing to the rest of India that name calling, slander, ridicule, silence does not matter
#FarmLaws Withdrawn",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.4616}, {'text': 'protest', 'score': 0.3923}, {'text': 'silence', 'score': 0.1241}]"
3261170,"@RahulGandhi Those who stand with India will stand with India's farmers. 
Modi's farm laws must be repealed, because they are an attack on not only farmers, but also an attack on consumers, public procurement &amp; food security of our nation. #IndiaWithFarmers",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.536}, {'text': 'india', 'score': 0.4254}, {'text': 'repealed', 'score': 0.2881}]"
2764853,"Protest limited to one state, #Farmers being instigated, says #NarendraSinghTomar 
#FarmersProtest #FarmLaws
https://t.co/pGZUafsm0n",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.5084}, {'text': 'protest', 'score': 0.4879}, {'text': 'limited', 'score': 0.2082}]"
2507467,"SHARE MAX

Delhi Dy CM @msisodia speaks to @sharadsharma1 at Ghazipur Border

AAP has ensured Water Tankers and Toilets at Ghazipur Border

Yesterday #RakeshTikait had spoken to CM @ArvindKejriwal and appealed for water arrangements.

Modi Govt must immediately repeal Farm laws https://t.co/CF9VyP3YoP",Pro OPP,pro opposition,farm laws,"[{'text': 'ghazipur', 'score': 0.431}, {'text': 'tankers', 'score': 0.2077}, {'text': 'appealed', 'score': 0.0842}]"
2080017,"Farm Unions urge to boycott BJP.
The ongoing struggle will continue till the Modi Govt. agrees to 'Repeal Farm Laws'. 

To escalate the protest #FarmersCall_BJPboycott https://t.co/zeUMz79r9f https://t.co/t4BmYpvlLj",Pro OPP,pro opposition,farm laws,"[{'text': 'farm', 'score': 0.4423}, {'text': 'unions', 'score': 0.3725}, {'text': 'boycott', 'score': 0.3473}]"
2247739,"1. Farm laws are not imposed, it gives an extra option without replacing the current system.

2. Few farmers are on the street because political parties and communists misguided them.

3. Modi Sarkar has prioritized small farmers instead of reach farmers. https://t.co/UsBfeOQcVZ",Pro Ruling,pro ruling,farm laws,"[{'text': 'farmers', 'score': 0.5358}, {'text': 'prioritized', 'score': 0.2996}, {'text': 'communists', 'score': 0.2518}]"
3451903,"Punjab: Farmers to begin ‘Rail Roko’ from Dec 20; Says after getting 3 farm laws repealed from BJP, Now congress govt in state has to answer",Pro Ruling,pro ruling,farm laws,"[{'text': 'farmers', 'score': 0.4603}, {'text': 'rail', 'score': 0.2849}, {'text': 'congress', 'score': 0.2023}]"
931036,"I am not joking.

A prominent liberal portal has written that relationship between farmers and middlemen is like the relationship between heart and heartbeat.

And that new farm laws have broken this beautiful relationship.

This is how pathetic Indian liberalism is today...",Pro Ruling,pro ruling,farm laws,"[{'text': 'farmers', 'score': 0.5572}, {'text': 'liberalism', 'score': 0.5044}, {'text': 'heart', 'score': 0.2103}]"
5256719,"Apart from getting #FarmLaws Repealed , #FarmersProtest has achieved:

-Worldwide Shame of Growing India
-Awakening Jaichands
-Divide H!ndus &amp; S!khs (Attempt)
-All Opposition parties finding Anti-Modi Platform
-Sabotaging PostCovid Growth
-Propaganda(Hostile Neighbors)
-Fake News",Pro Ruling,pro ruling,farm laws,"[{'text': 'farmers', 'score': 0.5173}, {'text': 'protest', 'score': 0.4398}, {'text': 'india', 'score': 0.4133}]"
