source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
3153656,"Why are no parties or leaders other than Congress asking questions and pressurise the Modi govt over China? Where are Akhilesh, Mayawati, Arvind Kejriwal, Pinarayi Vijayan, Sharad Pawar, Mamata Banerjee, Owaisi etc?",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5102}, {'text': 'leaders', 'score': 0.3731}, {'text': 'pinarayi', 'score': 0.1723}]"
2259941,"China lied, people Died...",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.5453}, {'text': 'lied', 'score': 0.5309}, {'text': 'died', 'score': 0.3937}]"
4261587,Para C c in the first image. Interesting that China wanted India to face a two front threat during the Ladakh crisis. https://t.co/SLBvWOVzy4,Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5395}, {'text': 'india', 'score': 0.4331}, {'text': 'threat', 'score': 0.3869}]"
335503,"Those in India who plan to put pressure on China by boycotting Chinese products:
China's export to India is only 2.5% of its total annual export of $2.8Trillion.
While India's export to China is 14.5% of its total annual export of $322 Billion.

Hindutva Gang and Common Sense???",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5375}, {'text': 'export', 'score': 0.3548}, {'text': 'pressure', 'score': 0.0477}]"
2599525,"#China is a dangerous &amp; toxic power, writes ⁦@sandipanthedeb⁩ . Several former world leaders are in its pay. 

Who are the ‘fifth columnists’ in India “working surreptitiously for China’s interests &amp; against India’s?” 

Watch digital/TV/print media carefully. You’ll know. https://t.co/6BAJ87vxOb",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.5733}, {'text': 'columnists', 'score': 0.3556}, {'text': 'toxic', 'score': 0.2045}]"
484732,"Treacherous CPM backstabs India again! CPM mouthpieces echoes Chinese rag ‘Global Times,’ squarely blames India for border standoff, says ‘Hindutva provoked China’!

https://t.co/gZmRD5iDWT",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4889}, {'text': 'india', 'score': 0.4315}, {'text': 'backstabs', 'score': 0.2952}]"
109146,Kargil happened during Atal Behari Vajpayee’s watch. Not for a second did he lie to the people of India. China is doing a Kargil repeat in Ladhak &amp; Modi needs to follow Vajpayee’s example. Expel China. Do not cede one inch of our territory,Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.4575}, {'text': 'india', 'score': 0.3575}, {'text': 'watch', 'score': 0.2282}]"
1036206,"@RahulGandhi 23rd June 2020: Modi is standing aside as China seizes our land, says furious BJP politician from border region of Leh Ladakh.

Seems like everybody is lying except #ModiLies 

https://t.co/e2l2YAnde0",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5218}, {'text': 'lying', 'score': 0.3578}, {'text': 'standing', 'score': 0.2615}]"
1247610,"3.) India needs to protract the dialogue with China to tilt things in our favour. Short term solutions won’t work as China may use dialogue as shield for fresh aggression. 

4.) Time for India to rethink a One China policy. Send out a strong message to China by speaking up.",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5173}, {'text': 'india', 'score': 0.3797}, {'text': 'rethink', 'score': 0.3049}]"
3770498,"#China congratulates new interim #Taliban govt, assures it of economic, political cooperation 
https://t.co/kq8RzuCWn5 https://t.co/osydJtMYCM",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4432}, {'text': 'taliban', 'score': 0.3587}, {'text': 'congratulates', 'score': 0.3454}]"
2328332,India &amp; China to hold Working Mechanism for Consultation &amp; Coordination (WMCC) meeting,Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.464}, {'text': 'mechanism', 'score': 0.2704}, {'text': 'consultation', 'score': 0.269}]"
