source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
78460,"Last year in August, shortly after abrogation of Article 370 from J&amp;K, from my journey through #Khrew in Pulwama of South Kashmir on an assignment. The road leads to Jwalaji Devi temple, Khrew. One of the hot belts of terror. Several villages where Jaish/Hizbul set their base. https://t.co/FX33fP9yL4",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.6394}, {'text': 'base', 'score': 0.1758}, {'text': 'hot', 'score': 0.097}]"
6918078,"BJP national general secretary and Jammu and Kashmir in-charge @tarunchughbjp  said the Abdullah family engineered the destruction of #KashmiriPandit families in #JammuAndKashmir for its political gains
https://t.co/h2raCZgtb5",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4763}, {'text': 'families', 'score': 0.3523}, {'text': 'engineered', 'score': 0.2693}]"
7669978,Malik was appointed governor of Jammu &amp; Kashmir by @PMOIndia &amp; was personally aware of the Pulwama massacre. For shame @rajnathsingh clinging on to office. The entire intelligence community knows Doval’s “competence” pointless to comment https://t.co/Nf6paAsZfI,Pro OPP,pro opposition,kashmir,"[{'text': 'kashmir', 'score': 0.4596}, {'text': 'appointed', 'score': 0.3248}, {'text': 'pointless', 'score': -0.0151}]"
7373863,"Jammu and Kashmir: BJP youth leader retracts his statement, says no FIR filed against him in Kishtwar for supporting Nupur Sharma
 https://t.co/d6LkIhO8wp",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4001}, {'text': 'leader', 'score': 0.1929}, {'text': 'filed', 'score': 0.1626}]"
8033850,"This weekend watch #TheKashmirFiles on big screen, in a theatre near you. 

I am grateful to the love and blessings of people who use their art for humanity. This is made by Artist Shikha Sharma. https://t.co/33iBdqAz3H",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5432}, {'text': 'artist', 'score': 0.4869}, {'text': 'watch', 'score': 0.3266}]"
1267769,"Yes! Chinese have occupied 38,000 sq kms in Ladakh. 

And it happened in 1962 under Nehru

He also lost 13297 sq kms in Kashmir. 

Jameen khone ka talent 'haath' ke DNA mein hi hai. 

Jaise Mummy came close to giving Siachen to 'secular' Pak in 2006.

&amp; Army Chief had to veto it! https://t.co/e4xE7lKaNi",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4774}, {'text': 'chinese', 'score': 0.4537}, {'text': 'veto', 'score': 0.0201}]"
7227160,"For the first time, in the history of Indian cinema, even #UrbanNaxals are forced to discuss #Kashmir.

I wish they had invited me also. Remember, the ‘other side’. https://t.co/YiqOVB4UJY",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4968}, {'text': 'invited', 'score': 0.3375}, {'text': 'urban', 'score': 0.2118}]"
4225826,How Kashmir stole a march over other states in Covid vaccination drive  https://t.co/XooziWg77V,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4674}, {'text': 'vaccination', 'score': 0.4601}, {'text': 'march', 'score': 0.2812}]"
1552019,"Modi's lies and jumlas
🔷Aachhe din
🔷15 lakhs rupees 
🔷Sabka saath sabka 
     Vikash
🔷GST
🔷 DEMONetization will end terrorism in Kashmir
🔷Beti bachao Beti padhao
🔷Corona will end in 21 days
 #ModiHaiTohJumlaHai",Pro OPP,pro opposition,kashmir,"[{'text': 'kashmir', 'score': 0.5042}, {'text': 'demonetization', 'score': 0.3565}, {'text': 'days', 'score': 0.187}]"
7082980,"Aadarniya #DilipWalsePatil ji (N.C.P) 
I am concerned about you as you are surrounded by uneducated jokers who have misinformed you about @vivekagnihotri’s #KashmirFiles. 
The film is not about partition in 1947 but it’s about genocide of #KashmiriPandits in #KMR.  
Be careful. https://t.co/btlnYJ09PY",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5004}, {'text': 'misinformed', 'score': 0.3035}, {'text': 'jokers', 'score': 0.2462}]"
1084042,#BREAKING: Tragic news coming from Machil sector in #Kupwara of North Kashmir. 3 Indian Army soldiers including an officer and 1 BSF Jawan Killed in Action in gunfight with infiltrating terrorist at LoC. 2 terrorists eliminated so far. Major Ops underway. More details awaited.,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5316}, {'text': 'killed', 'score': 0.3858}, {'text': 'soldiers', 'score': 0.3137}]"
5329811,This award for #TheKashmirFiles being honoured as the Golden Film of Indian cinema is dedicated to all the victims of religious terrorism. @TheITA_Official #KashmirHinduGenocide https://t.co/Uc6RpREPbm,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5576}, {'text': 'award', 'score': 0.4269}, {'text': 'victims', 'score': 0.3081}]"
5322673,"@ARanganathan72 This mosque is under Mirwaiz Umar, who enjoys Indian security &amp; other privileges funded by Indian tax payers. I have said this repeatedly—the conflict entrepreneurs who built empires on our lives in Kashmir, are still in control. When will @HMOIndia act &amp; shut down their network?",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.555}, {'text': 'shut', 'score': 0.2757}, {'text': 'entrepreneurs', 'score': 0.1722}]"
5331227,"6 Days to go to witness humanity’s worst tragedy. 
#TheKashmirFiles 
#RightToJustice https://t.co/mwRmYlv2nm",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5507}, {'text': 'justice', 'score': 0.4716}, {'text': 'worst', 'score': 0.3493}]"
6041909,Congress CM promoting #KashmirFiles 🔥😂 https://t.co/3S6kFDAyRy,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5355}, {'text': 'congress', 'score': 0.4531}, {'text': 'promoting', 'score': 0.4306}]"
5779015,"Producer of the movie Shabina Khan!

Same Shabina Khan who made fun of 🇮🇳 during initial period of COVID by saying that Covid is All@h way of revenge against 🇮🇳 for the removal of Article 370.

India made Kashmir Jail now By Covid All@h has made whole India jail was her playcard! https://t.co/MP7kbLeKhy",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4077}, {'text': 'jail', 'score': 0.3465}, {'text': 'playcard', 'score': 0.1774}]"
1865410,I strongly condemn this. “Free Kashmir” placards were displayed at Gateway of India. This step is against the unity and dignity of our nation. We can’t tolerate this act. https://t.co/JPsq4ORJpF,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4436}, {'text': 'condemn', 'score': 0.379}, {'text': 'free', 'score': 0.0883}]"
2235256,"BSF soldier posted at a border outpost in Jammu &amp; Kashmir told me that Pakistani Rangers who often communicate with them on border say, ‘Yaar itna development mat karo India mein, phir humare log humein bahut gaali dete hain’. More &gt; https://t.co/0VYYvTGnU4",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.507}, {'text': 'soldier', 'score': 0.4287}, {'text': 'communicate', 'score': 0.425}]"
683652,#BREAKING: India's Permanent Representative at the @UN - Amb. @AkbaruddinIndia confirms that China/Pakistan's yet another attempt to call a session/discussion on Kashmir at #UNSC has failed as several Indian friends in P5 have opposed the move. Big setback for Islamabad. https://t.co/anZ3vcIU80,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4846}, {'text': 'p5', 'score': 0.3006}, {'text': 'failed', 'score': 0.242}]"
6333959,‘Abhi Maare Jayenge Sab’: Farooq Abdullah makes controversial remark after the targeted killing of a Hindu teacher in Kashmir https://t.co/9o6b4rbO7f,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4984}, {'text': 'teacher', 'score': 0.4142}, {'text': 'killing', 'score': 0.3437}]"
6570632,"Kashmiri Pandit Samiti says “situation in Kashmir Valley is returning to 1990.” “In 1990, killings lists were circulated in mosques and in 2022 these lists are circulated on the internet and social media, just modus operadi has changed but the mentality is the same” https://t.co/wxkUsiM093",Pro OPP,pro opposition,kashmir,"[{'text': 'kashmir', 'score': 0.5009}, {'text': 'changed', 'score': 0.3149}, {'text': 'killings', 'score': 0.2802}]"
474981,"03 September 1965

Jammu &amp; Kashmir

Major SP Varma, Subedar MB Gurung &amp; Lance Naik RB Gurung of 3/8 Gorkha Rifles, by their acts of exemplary courage &amp; bravery achieved glorious victories. Awarded #VirChakra 
https://t.co/nSG0GVrpHp
https://t.co/6r7k3bfifp
https://t.co/4DCvAvjlkS https://t.co/ILjaIvfO7G",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4976}, {'text': 'bravery', 'score': 0.4023}, {'text': '1965', 'score': 0.26}]"
