source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
5635244,"Aarambh hai Prachand...
#Congress https://t.co/eX0jSwUYpx",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.6975}, {'text': 'aarambh', 'score': 0.6113}, {'text': 'prachand', 'score': 0.4732}]"
17958,"@priyankagandhi We'd have a good economy, fairer society and loving, happy citizens if we had a Congress govt. https://t.co/5tnqlxx4HO",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4418}, {'text': 'economy', 'score': 0.3199}, {'text': 'happy', 'score': 0.3173}]"
5391448,"#ArrestTauqeer | The day Congress takes a stand against people like Tauqeer, Rahul Gandhi will lose his Wayanad constituency: @tuhins, Spokesperson, BJP https://t.co/znSAjG8bzG https://t.co/ThE4wF92Jn",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4029}, {'text': 'arrest', 'score': 0.2917}, {'text': 'wayanad', 'score': 0.2832}]"
989427,Congress First 😂🤣😂😂 https://t.co/PIo7z3rmco,Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.8022}, {'text': 'first', 'score': 0.4618}]"
1997838,"Congress Gen Secy Ms @priyankagandhi at #Bulandshahar : 

We will nominate only Congress workers for all #UttarPradesh Assembly Seats…

If Congress has to Win, Congress Will Win on its Own … https://t.co/cTl8bfih7O",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.6042}, {'text': 'workers', 'score': 0.2762}, {'text': 'seats', 'score': 0.1951}]"
2253941,"Congress is now linking Ludhiana Court complex incident with FIR on Bikram Singh Majithia.

Sidhhu, Channi &amp; Randhawa are blaming different people for the incident.",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4882}, {'text': 'blaming', 'score': 0.3537}, {'text': 'linking', 'score': 0.2565}]"
7676130,"So AAP has finally dropped the purdaah of pretence and has openly embraced Congress  - AAP ka haath Congress ke saath ! 

Their support for Rahul Gandhi proves following 

1) They have no faith in court 
2) In matters of corruption they stand with Congress - gone are the days of… https://t.co/0cj01OugI8",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4731}, {'text': 'purdaah', 'score': 0.3256}, {'text': 'dropped', 'score': 0.2713}]"
2562708,"#BREAKING | BJP National Spokesperson Gaurav Bhatia slams Congress over Mani Shankar Aiyar's remarks on defence and forces; hits out at UPA's response to 26/11 attacks 

Watch #LIVE here: https://t.co/aPPzyhl1dj https://t.co/qvgkDs3ASc",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4995}, {'text': 'shankar', 'score': 0.423}, {'text': 'hits', 'score': 0.1764}]"
3998824,And Congress mopping ka kaam karegi 😭😭,Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4989}, {'text': 'karegi', 'score': 0.4349}, {'text': 'mopping', 'score': 0.3838}]"
854156,"Congress gives away its own #Oscars. No surprises on winners.
https://t.co/7r0MZsaSfW https://t.co/nCMaSSiEn8",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4692}, {'text': 'winners', 'score': 0.3698}, {'text': 'away', 'score': 0.1486}]"
3972941,"#TheNews | Congress' New Problem Seems To Be Harish Rawat, Trusted Aide To Gandhis 

Read more: https://t.co/508I9wSULv https://t.co/UYIXorKfv4",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4944}, {'text': 'new', 'score': 0.2953}, {'text': 'trusted', 'score': 0.1761}]"
2714853,Some Strategic talking in Congress with #HighCommand 😂😂 https://t.co/Ha4V7YRnoz,Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.618}, {'text': 'strategic', 'score': 0.466}, {'text': 'high', 'score': 0.314}]"
826845,"‘Indira thok di…Modi ki chhati mein’, ‘Imran Khan dost’: Congress plays a dangerous game as ‘farmer’ protest turns into show of strength for Khalistanis https://t.co/8FUKBIPmRX",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.5176}, {'text': 'khalistanis', 'score': 0.4492}, {'text': 'dangerous', 'score': 0.3465}]"
2591553,It took your Congress ancestors 70 years to pass the Manual Scavenging Act of 2013 ?????? https://t.co/sGtoPTspTI,Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4309}, {'text': 'ancestors', 'score': 0.2655}, {'text': 'scavenging', 'score': 0.2619}]"
2741472,"Imagine if this late night political drama happened in a Congress ruled state. Every journalist would have lost their last braincell in declaring Congress is a spent force. Where are you now? 
#देवभूमी_में_भाजपा_फेल https://t.co/J9jfdFWdnW",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.5476}, {'text': 'journalist', 'score': 0.4843}, {'text': 'braincell', 'score': 0.2743}]"
3162504,"Big Announcement!
Congress will scrap new farm laws if voted to power, says Priyanka Gandhi Vadra at rally in UP's Saharanpur 
#FarmersProtests",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4836}, {'text': 'farmers', 'score': 0.3633}, {'text': 'scrap', 'score': 0.0937}]"
6316884,"Did Rahul’s yatra distract state Congress leaders during a high-stakes bypoll? Did Rahul’s march have zero resonance? Or did none of this matter before money power? On Congress Munugode disaster, party MP &amp; Telangana in-charge @ManickamTagore joined me: https://t.co/wdtgNCln5h",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4543}, {'text': 'yatra', 'score': 0.3709}, {'text': 'resonance', 'score': 0.184}]"
566214,Congress Demands Trivendra Rawat's Resignation Over Corruption Charges https://t.co/yklIpLYoej https://t.co/2WOBSb8ewM,Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4176}, {'text': 'resignation', 'score': 0.3396}, {'text': 'trivendra', 'score': 0.2924}]"
4953287,Congress accused #PMModi of “shocking callousness” for addressing rallies in poll-bound #WestBengal “instead of staying in Delhi” to handle the #COVID19 #pandemic situation https://t.co/9Cr5jXF7cu,Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4207}, {'text': 'callousness', 'score': 0.2523}, {'text': 'pandemic', 'score': 0.1994}]"
1328332,"#OperationDanga | This doesn't only expose the Congress leader it exposes the Congress party itself; they'll exploit every faultline; they've stooped to this: MR Venkatesh, Political Analyst &amp; Lawyer https://t.co/JdAixWnZ1y",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.5763}, {'text': 'exploit', 'score': 0.2638}, {'text': 'stooped', 'score': 0.1366}]"
8156051,"Lingayats With PM Modi

It is Congress' intention to work on the principle of divide and rule.

The #Lingayat community has made it clear that Jagadish Shettar joining the Congress will have no effect on the Karnataka Lingayat vote, which will go to Modi this time...… https://t.co/UlliZ8jjjl https://t.co/lFh69BkeOk",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4822}, {'text': 'lingayats', 'score': 0.3201}, {'text': 'gay', 'score': 0.2016}]"
2573630,Cant see congress in this situation says @KapilSibal,Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.6605}, {'text': 'kapilsibal', 'score': 0.3783}, {'text': 'situation', 'score': 0.2329}]"
4189810,"@GauravGogoiAsm @JitendraSAlwar @bhupeshbaghel @DesignBoxed We live to fight another day, lessons learnt, ground work upped. TMC has proved is, it’s possible to fight money might with powerful messaging &amp; a legacy of hard work. Our time starts now - proving Congress cares especially in #COVID19  The #AIPC network stands with you @szarita",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4516}, {'text': 'bhupeshbaghel', 'score': 0.2617}, {'text': 'network', 'score': 0.2461}]"
779703,"Ravish Kumar going to report death of 100 kids in Kota but suddenly realises that it's a Congress ruled state
 https://t.co/3uhqL9SRTQ",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.3829}, {'text': '100', 'score': 0.332}, {'text': 'death', 'score': 0.2419}]"
7506899,"#BREAKING | Karnataka Congress withdraws anti-conversion law

#AntiConversionLaw #Karnataka #Congress 

https://t.co/2lTXQflKr0 https://t.co/PuEfMvKYcN",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4816}, {'text': 'withdraws', 'score': 0.3768}, {'text': 'conversion', 'score': 0.3695}]"
8259686,"Is an international lobbyist puppeteering Congress?

#GeorgeSoros #AntiIndia #EconomicWar #CongressDirtyPolitics https://t.co/DJdauLquV7",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.6277}, {'text': 'india', 'score': 0.3961}, {'text': 'puppeteering', 'score': 0.1998}]"
4364612,"Nothing has changed in Congress since 1958:
Earlier they used to ride on Donkey, now a Donkey rides on them.

( Please Note this poll was conducted by Official Congress handle and its still their in their TL) https://t.co/IdEDnvtvpx",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4784}, {'text': 'donkey', 'score': 0.459}, {'text': 'changed', 'score': 0.2497}]"
7950651,"This is how Congress Sarkars have relegated us to being EIGHTH class citizens in our own land👇🏻👇🏻

It’s ONLY @narendramodi ji who can FREE us from these draconian rules &amp; give us the modern version of
Hindavi Swarajya🙏🙏

#Shivjayanti2023 🙏🙏 https://t.co/tvGEtyyN7y",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.5233}, {'text': 'swarajya', 'score': 0.3994}, {'text': 'relegated', 'score': 0.2181}]"
6970101,"Do you see another face from congress ??? Smt @priyankagandhi when asked who is CM face from congress in UP!

We have been waiting for this, PGV should be declared officially as CM candidate &amp; it will change the political scenario in the state❤️✌🏼❤️

#यूपी_की_उम्मीद_प्रियंका https://t.co/3jfbQH8kY7",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4589}, {'text': 'face', 'score': 0.3398}, {'text': 'waiting', 'score': 0.2161}]"
2483143,"His rhetoric has compelled what happened at Mr. Sibal's house.
The G-23 group is not fighting for the Congress, but fight with Congress itself.
It felt so bad to oppose Sibal ji, but for 7 years Mr.@RahulGandhi Ji's image is being attacked, no one has felt any pain?
@INCIndia https://t.co/FTOObKPvJW",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4226}, {'text': 'rahulgandhi', 'score': 0.3037}, {'text': 'pain', 'score': 0.1322}]"
1567249,Congress Party Against General And OBC's #RajasthanLdcScam https://t.co/tATfQMQTp5,Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.5596}, {'text': 'against', 'score': 0.3875}, {'text': 'general', 'score': 0.3848}]"
7087787,"Even official handles of Congress presented the data they liked from our handle &amp; they are making claim of big victory on basis of self claim of MP Congress Twitter handle. 

These donkeys even copied the hashtag which was started by me.😂😂 https://t.co/l7fmTO6nBc",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4843}, {'text': 'hashtag', 'score': 0.4013}, {'text': 'donkeys', 'score': 0.2889}]"
667437,And Congress in Bihar is supporting CBI probe into SSR’s death https://t.co/YMAoogpL4m,Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4213}, {'text': 'death', 'score': 0.2551}, {'text': 'ssr', 'score': 0.2092}]"
1234455,"While the leaders ascribed their hand-wringing to the continuing dismal performance of the Congress party, a senior journalist close to Congress claims that behind the facade of concern for the welfare of the party, lies personal ambitions
https://t.co/WTowyrNuxO",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4871}, {'text': 'ambitions', 'score': 0.4296}, {'text': 'dismal', 'score': 0.2982}]"
3667030,"Saumya Verma, working in the AICC Research Dept is the author of Congress toolkit; after revelations delete her LinkedIn &amp; Twitter account: 
https://t.co/Ci3FX9EzMf #CongressToolkitExposed",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4776}, {'text': 'saumya', 'score': 0.2845}, {'text': 'linkedin', 'score': 0.2791}]"
8212670,"Today's dose of BJP-RSS fakery &amp; lies by BJP IT Cell. 

Congress Parliamentary Commitee is headed by Sonia Gandhi &amp; not by the party president Shri Khargeji. 

Just like BJP Parliamentary Committee is headed by Modi NOT by  remote-controlled party president Nadda.

#LieLikeModi https://t.co/UtcmI73FcZ",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4842}, {'text': 'fakery', 'score': 0.3311}, {'text': 'remote', 'score': 0.1374}]"
7830323,"Thank you @DKShivakumar nothing will happen overnight but what matters is the zeal to bring changes  !!! ✊🏼
I can see that the new Congress government has it ❤️ https://t.co/eQ5I6KSPgR",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.5178}, {'text': 'changes', 'score': 0.3982}, {'text': 'dkshivakumar', 'score': 0.3533}]"
729268,"Sambit Patra is doing great work Congress is recognizing it

Hence, the trend Arrest Sambit Patra

The more Congress complains &amp; cries The more vindictive Antonia Maino gets
The more effective you've been at your job
Go ahead @sambitswaraj Ji
#WeStandWithSambitPatra",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4719}, {'text': 'arrest', 'score': 0.3101}, {'text': 'maino', 'score': 0.2592}]"
843577,"Today, Modiji said-
""BJP has done as much in just 4 yrs as Congress did in 60 yrs.""

A few days ago, Modiji said-
""Congress ruined India in 60 yrs.""",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4282}, {'text': 'india', 'score': 0.3858}, {'text': 'ruined', 'score': 0.3164}]"
6667051,"""... Main Bhi Chowkidaar  Means"": Congress Jabs BJP On 'Agnipath' Scheme https://t.co/7lgF1cse40 https://t.co/sFKFlmGskL",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.5159}, {'text': 'jabs', 'score': 0.3466}, {'text': 'agnipath', 'score': 0.2454}]"
