keyword,count
tests,826
jihad,826
saffron,823
fascism,823
march,823
woman,822
won,820
monsoon,820
appointed,819
less,816
curfew,816
roadshow,815
courts,815
river,815
rains,815
fighting,811
may,810
education,807
ke,806
joined,805
his,805
don,804
warning,804
funds,803
neither,801
spin,794
lie,791
mein,789
month,785
arnab,784
always,781
daughter,781
truth,781
votes,779
refused,779
release,778
needs,777
road,776
minorities,776
bjp4india,773
ram,773
supporters,772
stadium,770
it,768
murdered,767
taxes,767
coward,762
aap,762
poll,762
positivity,760
where,759
hero,758
recovered,758
under,756
russia,756
week,755
friends,755
model,749
without,749
panchayat,748
night,747
delete,747
attacks,746
actor,745
hockey,742
fought,740
award,740
worth,740
israel,737
commissioner,735
of,732
live,732
peace,731
ambani,730
altnews,728
trains,727
religion,727
just,726
fir,725
pray,719
mcd,719
vs,717
work,716
alliance,715
accounts,715
dalit,714
man,714
law,713
pmo,713
campaigning,713
foundation,712
chairman,710
defeat,710
solidarity,707
masks,706
viral,706
loss,705
ban,705
failure,704
debt,703
pic,700
make,699
read,699
lapdog,696
courage,696
listen,693
remember,692
exam,692
celebrations,692
fascist,690
respect,690
statue,688
can,688
coming,685
ambulance,684
celebrate,683
starts,682
debates,682
prayers,682
hatred,682
months,682
chandrashekar,681
gdp,678
khalid,678
boot,676
empathy,676
reporters,675
photo,675
incindia,674
numbers,674
yoga,672
king,672
employment,671
conversation,669
constituency,667
done,666
student,666
instagram,665
disqualification,665
drug,664
closed,664
voted,663
celebrities,663
misinformation,662
picture,662
pressure,660
kumar,660
nahi,660
rapists,659
hand,659
largest,658
safety,658
mamataofficial,656
late,656
sit,656
oil,656
demand,655
break,655
phase,654
drugs,654
cut,652
leaked,651
debate,651
oh,645
delay,645
killing,645
here,644
pollution,644
troops,643
certificate,643
retired,642
run,640
ventilator,639
sikh,639
exit,638
diwali,637
hearing,636
himachal,635
protect,635
vision,634
covaxin,634
doctor,633
go,632
tribute,632
missing,630
raids,629
bill,629
dangerous,628
lakhs,628
call,627
ne,625
ghar,625
him,624
ambedkar,622
sir,622
gold,622
parliamentary,621
first,621
cash,621
demolition,621
sacked,620
meetings,620
detention,619
teleprompter,618
brother,618
labour,616
soon,616
years,615
custody,615
governments,613
patriotism,613
war,613
defamation,613
himself,613
govts,612
sitting,612
wire,609
mohammed,609
bangalore,608
british,608
members,607
compensation,606
bench,606
changed,606
richest,606
liberals,605
spine,605
flags,605
criminals,604
secular,603
cylinder,603
contempt,603
ji,602
pics,601
against,601
lawyers,599
tribal,599
hemantsorenjmm,598
camera,598
citizens,598
system,597
judicial,597
quarantine,597
liquor,595
sister,594
sri,594
ghaziabad,594
session,593
joke,593
lowest,592
blind,592
donate,591
threatened,591
shahrukh,589
flight,584
digital,584
unemployed,584
employees,584
for,583
my,583
tractors,582
boss,582
nobody,582
trolling,581
wishes,581
big,581
driver,581
sleep,580
start,578
jairam_ramesh,576
mob,576
terror,576
cartoons,575
terrorism,574
lying,574
swamy,574
pregnant,573
thanks,573
secularism,573
delegation,573
bring,572
suspend,572
infrastructure,571
france,570
troll,569
deep,569
millions,568
increase,568
leaves,567
incompetence,567
phones,567
celebrating,567
timesnow,566
school,566
blaming,565
drive,565
threats,564
appeal,564
repealed,564
double,563
abuse,562
evidence,562
modi,561
broke,561
genocide,560
bonds,560
parade,560
petition,560
sedition,560
all,559
in,559
suffering,558
strong,557
me,557
pakistani,556
forces,556
constitutional,555
gone,555
ignore,554
running,554
pbhushan1,554
gaye,552
editor,551
income,551
central,550
virtual,550
control,550
blocked,549
level,549
deputy,548
kiba,547
ministry,547
weak,546
apne,545
ready,545
crowds,543
liar,542
general,542
true,542
duty,542
ms,542
wins,540
tears,540
launch,540
mismanagement,539
remove,539
healthcare,538
streets,538
defence,538
population,537
promises,537
chidambaram,536
energy,536
cannot,536
bulldozer,535
university,535
victims,535
citizenship,535
2019,534
faruqui,534
feel,533
victory,532
stalin,531
check,531
follow,531
injured,531
amitmalviya,531
railways,531
history,530
1000,530
congrats,528
mafia,528
posters,528
max,527
light,527
bad,526
index,526
market,524
sold,524
tea,523
car,522
desh,521
remain,520
policemen,519
age,518
class,514
stopped,514
christmas,513
resigns,513
confidence,513
tributes,512
tonight,511
reporter,511
director,510
sanghi,510
before,510
rssurjewala,510
elderly,509
her,509
ratetvdebate,509
pension,509
ignored,508
french,508
dalits,508
rice,507
lead,507
rahul,506
nirbhaya,506
saved,506
wrong,505
what,505
kanganateam,505
lawyer,505
hinduism,504
shot,504
teacher,504
filed,503
companies,502
inaugurated,502
ambassador,502
cylinders,502
loans,501
loan,500
tmc,500
ahmedabad,500
ki,500
company,498
reduced,498
losing,498
liberty,497
weeks,496
defend,495
arrests,495
worried,494
sharing,494
denied,493
salary,492
minority,491
flood,491
grateful,491
koi,491
chair,488
speak,488
dissent,488
mubarak,488
public,488
aircraft,487
adjournment,487
responsible,487
milk,486
caught,483
made,482
warrior,481
tejasvi_surya,480
paying,480
happiness,480
group,479
speeches,479
ashamed,479
letter,479
allahabad,479
fascists,478
walk,477
damage,477
demolished,477
awards,477
burnt,476
raha,475
caa,475
rich,475
flyover,474
rain,474
officials,474
vaccinate,474
afraid,474
telegraph,473
shocking,472
enter,472
hike,470
offices,470
lose,469
song,468
embassy,468
followers,467
disgusting,466
stronger,465
current,465
ticket,464
unbelievable,464
parents,464
investigation,464
repeal,463
demands,463
sorry,463
50,463
key,462
assaulted,462
ncb,461
beard,461
voter,461
seat,461
hotel,459
40,458
withdraw,458
copy,458
two,457
anil,457
remembering,456
stand,456
countries,456
cm,456
words,456
ladakh,455
huge,455
cremated,455
rights,455
internet,454
masjid,453
stayed,453
reality,453
lynching,450
winning,449
fails,449
dismissed,448
nirmala,448
midnight,447
floods,447
they,447
joining,446
prison,446
fighter,444
sikhs,443
child,443
miss,443
yesterday,443
shekhargupta,443
thousands,443
tragedy,442
airports,442
show,442
economic,442
order,441
turn,441
star,440
jawaharlal,440
missed,440
retirement,439
siddiqui,439
zindabad,439
dish,439
festival,438
started,438
said,438
again,437
help,436
guilty,435
surveillance,435
sunday_standard,435
biotech,435
ideology,435
medical,435
baby,434
changes,433
citizen,433
marriage,433
healthy,432
daily,432
riot,432
bhi,432
frontpage,432
great,431
city,431
zubair,431
evening,431
comedian,430
calls,430
bar,429
dog,429
cancelled,428
couple,428
kcvenugopalmp,428
punjabis,428
village,428
burn,428
ambulances,428
nawab,427
few,426
olympics,426
protested,426
krishna,426
cop,425
forest,425
majority,425
martyred,424
campus,424
whip,423
wait,423
charging,423
medal,423
attacking,422
after,422
labourers,422
nepal,421
warriors,420
climate,420
demonetisation,420
bhupeshbaghel,419
welcome,418
traffic,418
reporting,417
heartbreaking,417
print,417
500,416
comments,416
donations,416
dev_fadnavis,416
must,416
files,415
speaks,415
lakhimpurkheri,414
mass,414
so,414
raid,413
camp,413
reforms,413
verdict,412
exposed,412
supporter,411
transfer,411
delayed,410
msisodia,409
dictatorship,409
anger,409
found,408
january,408
beautiful,407
bigger,407
cctv,406
district,406
ration,406
unions,406
arrogance,405
privacy,404
shankar,403
fastest,403
unity,403
currency,402
minutes,402
islamophobia,402
update,401
slogans,401
wheat,401
alone,400
refuses,400
hurt,400
shooting,399
obama,399
mirror,399
conscience,399
telegram,398
buy,398
certificates,397
vaccinations,397
baar,395
rural,395
fast,395
stock,395
captain,394
at,394
houses,393
more,393
open,393
resumes,393
postpone,393
cold,392
spotted,392
kanhaiyakumar,392
cremation,392
cancel,392
mayor,391
bagh,390
schedule,389
file,389
shashi,389
massacre,389
gayi,389
investment,389
regime,388
disqualified,388
humanity,388
defending,386
social,386
charged,386
telangana,385
punishment,385
greetings,384
ceremony,384
iron,384
extend,384
welfare,383
revolution,382
mrsgandhi,382
snooping,382
gulf_news,382
to,382
wedding,382
centre,382
movie,382
bungalow,382
suicides,381
message,381
lynched,381
wake,381
enters,380
ghmconline,379
temples,379
leaving,379
brilliant,379
arresting,379
tokyo,378
girls,377
blue,377
dictator,377
corporate,376
yourself,376
waste,376
signed,376
barricades,376
story,375
jobless,375
park,374
chandrachud,374
fighters,374
relief,372
canada,372
blamed,371
womens,371
warned,371
ghazipur,371
bharatiya,371
highway,370
book,370
registered,369
pandits,369
districts,369
srinagar,369
google,369
walks,368
rw,368
unconstitutional,367
half,367
agnipath,367
lunch,366
donation,366
liberal,366
well,366
floor,366
laughing,365
accountability,364
red,364
kanhaiya,363
enough,363
privatisation,363
much,362
cross,362
cambridge,362
engine,362
negative,361
traitors,361
reservation,361
charanjitchanni,361
from,360
lapdogs,360
responsibility,360
hacked,360
saving,359
wah,359
guest,359
spineless,358
electric,358
sources,358
defeated,358
martyrs,358
full,357
military,357
cheap,357
caption,357
chairperson,357
bandh,357
apps,356
petitions,356
raises,356
crying,356
laws,355
blessings,355
camps,355
israeli,354
innovation,354
send,353
transparency,353
convicts,352
mobile,352
notice,352
pharma,352
darpok56inch,352
port,351
doses,351
dropped,351
discrimination,351
moose,351
on,350
bhakt,350
version,350
business,350
wayanad,350
ho,350
foreign,350
slow,349
nationalists,349
horse,348
hiding,348
brazil,348
people,348
extortion,348
bless,348
white,347
sector,347
newssting1,347
polling,347
criticism,347
gratitude,347
heroes,347
ajitpawarspeaks,347
protection,346
names,346
force,345
sleeping,344
germany,344
scandal,344
head,343
saheb,343
medicines,343
amishdevgan,343
palestine,343
moliticsindia,342
planes,342
eyes,342
mahapanchayat,341
mujhe,341
alive,341
tour,340
oath,340
wine,339
urban,339
adani,338
valley,338
replace,338
expressway,338
capitalists,338
ground,337
flights,337
poster,337
everyone,337
trinamool,337
international,337
growing,336
sunday,336
nationalist,336
adjourned,336
staff,336
sell,336
failures,336
panic,336
kumbh,335
dark,335
ye,334
pandit,334
agencies,334
connect,334
canadian,333
masked,333
culprits,333
walking,332
elephant,332
angry,331
rattles,331
beef,331
loses,331
cameras,329
forgive,329
proof,329
sending,329
donated,328
anthem,328
band,328
boy,327
irony,327
dilipkpandey,327
hindenburg,327
ok,326
prisoners,326
hit,326
bought,326
trial,326
replaced,326
dies,326
please,326
cows,325
fears,325
false,324
wama,324
symptoms,324
visits,324
take,324
harassed,323
heat,323
bbc,323
battle,323
2023,323
headlines,323
postponed,322
decision,322
ranchi,322
seized,322
restored,322
am,322
raghuram,321
number,321
affidavit,321
lied,321
lakh,321
average,321
chats,321
consent,321
mercy,321
stones,320
nitishkumar,320
kanyakumari,320
stroke,320
network,320
moral,319
murderers,319
results,319
top,319
married,319
selling,319
station,318
shops,318
employee,318
narcoticsbureau,317
forever,317
their,317
wordle,317
soul,317
saurabh_mlagk,316
screenshots,316
continues,316
locked,315
leads,315
powerful,315
baba,315
ghulam,315
none,315
channi,315
speaker,314
nuclear,314
service,314
metro,314
tourism,314
crimes,314
agenda,314
rip,312
legacy,312
facts,312
transferred,312
hindustan,312
capt_amarinder,311
action,311
rail,311
agency,311
cover,311
line,311
calling,311
capital,311
raided,310
treatment,310
jai,310
invest,310
gathering,310
track,309
green,309
report,309
dalal,309
ashok,308
eye,308
praying,308
behind,308
could,307
development,307
amendment,307
exports,307
stone,307
drsjaishankar,307
hungry,307
cyber,307
clinics,307
kids,306
catastrophe,306
slammed,306
and,306
punjab,306
tough,306
didi,305
killings,305
dream,305
learn,305
fools,304
spy,304
gogoi,304
smile,303
shelter,303
supremacists,303
york,303
accident,303
many,303
tunnel,302
mothers,302
rest,301
funeral,301
verified,301
lakhimpur,300
returns,300
tsunami,300
suspension,300
costs,300
myogiadityanath,299
increasing,299
bulldozers,299
chairs,298
poorest,298
forget,298
frauds,298
gang,298
homage,298
launched,298
subscribers,297
get,297
hoon,297
withdrawn,297
son,296
lives,296
going,296
touch,295
criticize,295
atrocities,295
memorial,295
cowards,294
ashram,294
injustice,294
fired,294
insurance,294
clothes,293
innocent,293
hold,293
toxic,293
cyclone,293
building,293
image,293
useless,292
lao,292
nazi,292
talk,292
sun,292
tricolour,292
bano,292
handles,291
sick,291
brutality,291
shares,291
rioters,290
inauguration,290
divide,290
pmcares,290
manufacturing,289
finally,289
deserve,289
bureaucrats,289
remains,289
madras,289
singapore,289
helpline,289
close,288
deepak,288
fool,288
speed,288
clean,288
plan,287
themojo_in,287
islam,287
harassing,287
jets,287
crematorium,287
chaudhary,286
yamuna,286
everyday,286
hug,286
probe,286
recruitment,285
board,285
online,285
helicopter,285
visuals,284
apple,284
executive,284
young,283
exercise,283
protected,283
funding,283
united,282
crocodile,282
scams,282
end,282
congratulated,282
panel,282
stops,281
warm,281
heartless,281
olympic,281
gaya,281
performance,281
hiked,281
sahib,281
watching,281
scenes,281
withheld,280
satya,280
selfie,280
homeless,280
broken,280
bhaskar,280
marry,280
sends,279
clip,279
satyagraha,279
indias,278
selfless,278
japan,278
wishing,278
blessed,278
be,278
dinner,277
federalism,277
indianexpress,277
gorakhpur,277
vaccinating,277
punjabiyat,277
vehicles,277
appointment,277
destroy,276
brutal,276
does,276
post,276
wish,275
jungle,275
dm,275
billion,274
amritsar,274
chowk,274
prayer,274
apologised,273
horror,273
disinformation,273
recession,273
cricketer,273
daughters,272
feed,272
buried,271
washington,270
rainfall,270
yes,270
training,270
raised,270
most,269
fund,269
lucknow,269
sarkar,269
banana,269
newspapers,269
subsidy,268
kits,268
distance,268
world,268
dubai,268
corporates,268
small,268
judgment,268
lower,267
quits,267
cycle,267
himachalpradesh,266
urine,266
jack,266
actress,266
thiruvananthapuram,266
arvindkejriwal,266
film,266
dreams,265
urdu,265
sunil,265
risk,265
malik,265
kohli,265
aryan,264
throw,264
target,264
generation,264
ashish,263
amazon,263
episode,263
write,263
credibility,263
news9tweets,263
that,263
demonetization,263
cancer,263
stays,262
rihanna,262
sudhirchaudhary,262
anymore,262
donating,262
away,262
fever,262
marching,261
rejected,261
tankers,261
goodbye,261
msmes,261
dharma,261
abp,260
perfect,260
drmms,260
launches,260
dose,260
dress,260
surprise,259
assassination,259
khud,259
omicron,259
bribe,259
scene,259
cuts,259
chattisgarh,258
different,258
authority,258
nitish,257
crpf,257
infected,257
potential,257
looted,257
joint,257
spirit,257
extension,257
pass,257
machinery,257
fail,256
wear,256
middle,256
internal,256
demolish,256
bye,256
chronology,256
cities,256
sahab,256
together,256
fans,256
needed,255
passport,255
room,255
winter,255
construction,255
contest,255
photographer,255
colours,255
emotional,255
cricketers,254
racket,254
meat,254
guys,254
tragic,254
falsely,254
cry,254
damaged,254
gift,254
swami,254
cutting,254
humble,254
priority,253
fearless,253
businessman,253
toh,253
nurses,253
agree,253
plane,253
collapsed,253
feeling,253
restaurant,252
srinivasiyc,252
laugh,252
appoints,252
inspiring,252
friend,252
saw,252
youngest,252
finance,252
andolan,252
scroll_in,251
siblings,251
earthquake,251
destroying,251
targeted,251
irresponsible,251
rohini_sgh,251
drone,251
kyon,251
newspaper,251
anti,251
language,251
mohammad,251
continue,251
television,250
ncp_nmcspeaks,250
counter,250
wealth,250
hide,250
dr_suraina,250
ends,249
petroleum,249
cares,249
abusing,249
lesson,249
islamic,249
celebration,249
tiger,249
payment,249
race,249
script,249
alleged,248
borders,248
front,248
priyankac19,248
are,248
collapse,248
haridwar,248
sisters,248
bhima,248
buying,247
australia,247
need,247
questioned,247
rejects,247
has,247
mahua,247
qatar,247
soft,247
naked,247
chakraborty,246
talks,246
prosecution,246
policy,246
dignity,246
progressive,246
lights,246
council,245
recover,245
speedy,245
looting,245
hell,245
discharged,245
kill,245
earn,245
financial,245
setback,245
opinion,244
diaspora,244
wow,244
storm,244
illegal,244
evil,244
dollar,244
twittersupport,244
lac,244
serious,244
crossed,244
london,244
return,243
idiots,243
dogs,243
keeps,243
footage,243
photos,242
view,242
freebies,242
privatization,242
cent,241
normal,241
timesofindia,241
brahmin,241
documentary,241
prophet,241
pongal,241
chopper,241
pushing,240
three,240
catch,240
weakening,240
insult,240
hour,240
heroin,239
thrashed,239
fights,239
tortured,239
dismisses,239
lot,239
package,239
infection,239
word,238
launching,238
push,238
truck,238
breaks,238
mood,238
assassinated,237
authoritarian,237
likely,237
strikes,237
guardian,237
rise,236
drunk,236
remembered,236
concern,236
youths,236
campaigns,236
denies,235
accountable,235
hear,235
maharaj,235
gap,235
korea,235
wash,235
shamelessness,235
factory,234
clock,234
organisation,234
hashtags,234
punished,234
policeman,234
sound,234
ahead,234
atmosphere,234
democracies,234
grow,234
ads,234
messages,233
winds,233
vultures,233
artists,233
danger,233
lockdowns,233
tribals,233
extended,233
cc,233
prakash,233
short,233
nsitharaman,233
candle,232
doesn,232
uk,232
poison,232
sports,232
machine,232
refugees,232
second,232
symbol,232
yaar,232
universities,232
bhagwan,231
rare,231
httweets,231
grieving,231
goyal,231
ran,231
regional,231
farming,231
shirt,231
professor,230
table,230
uniform,230
adhikari,230
taxpayers,230
weapons,230
treason,230
department,230
golden,229
teach,229
by,229
architect,229
threatening,229
kaun,229
audio,229
screenshot,229
evacuation,229
youngsters,229
plant,228
bike,228
making,228
brahmins,228
laundering,228
kind,228
idiot,228
records,227
surge,227
ipathak25,227
manhandled,227
tickets,227
bulldozed,227
legislative,227
standards,227
breakfast,226
godse,226
fm,226
compassion,226
sacrifice,226
mistakes,226
surrender,226
sharmarekha,226
banning,226
kangan,226
peacock,226
aam,225
indigenous,225
judgement,225
begins,225
cowardice,225
authoritarianism,225
releases,225
mile,225
ecosystem,225
economist,225
role,225
bomb,225
insecure,224
assets,224
seriously,224
address,224
stupid,224
brain,224
partition,224
fungus,224
positive,224
fined,224
via,224
mobs,223
baad,223
cards,223
stars,223
jaishankar,222
another,222
assault,222
badal,222
ansari,222
taking,221
tall,221
joy,221
rescue,221
reach,221
agitation,221
maximum,221
theprint,221
gay,221
sisodia,221
shubhratri,221
sc,220
frame,220
percent,220
visited,220
bigots,220
mistake,220
supporting,220
washing,220
believe,220
completed,220
these,220
diversity,220
bans,220
floral,219
look,219
access,219
quote,219
spokespersons,219
was,219
abbasalirushdi,219
condemn,219
acquitted,219
frontline,218
bat,218
abpnews,218
announcement,218
vegetables,218
trillion,218
cattle,218
rising,218
questions,218
find,218
pathetic,217
criticised,217
jm_scindia,217
denial,217
emotions,217
rapist,217
irrigation,217
choice,217
chargesheet,217
communal,217
air,217
husband,217
renamed,217
apologize,217
majoritarianism,217
celebrated,216
deficit,216
nehru,216
losses,216
atishiaap,216
trend,216
handle,216
rumours,216
festivals,216
click,215
rapes,215
pandey,215
ramesh,215
raising,215
solar,215
gujarati,215
chat,215
torture,215
oldest,215
investors,214
immunity,214
1949,214
noise,213
baghel,213
rescued,213
siddique,213
khattar,213
right,213
malappuram,213
condemned,213
memory,213
ravishndtv,212
vulnerable,212
pizza,212
returned,212
shoes,212
shocked,212
worry,212
convoy,212
underprivileged,211
rates,211
targets,211
appealed,211
breach,211
volunteer,211
humiliated,211
lakshadweep,211
permission,211
shared,211
feet,211
hua,211
sentenced,211
hands,211
nomination,211
promised,211
scheduled,211
bulldozing,210
restore,210
stupidity,210
rajasthan,210
2016,210
form,210
deserves,210
factories,210
groups,210
80,209
singer,209
o2,209
colour,209
medicine,209
falls,209
brand,209
progress,209
slowdown,209
build,209
spokesperson,209
mocking,208
dictators,208
conviction,208
community,208
single,208
liars,208
kidnapped,208
boost,208
slums,208
mohalla,207
cowardly,207
heads,207
ended,207
historic,206
terrified,206
shouting,206
villagers,206
map,206
jodo,206
