original_author,year,opposition,other,ruling,polarity_yearly
DIPR_UK,2020.0,1,0,104,0.9809523809523809
DIPR_UK,2021.0,1,6,132,0.9849624060150376
DIPR_UK,2022.0,0,0,32,1.0
DIPR_UK,2023.0,0,0,8,1.0
DRDO_India,2020.0,16,17,352,0.9130434782608695
DRDO_India,2021.0,41,68,638,0.8792341678939617
DRDO_India,2022.0,11,38,153,0.8658536585365854
DRDO_India,2023.0,0,17,21,1.0
DaaruBaazMehta,2020.0,3049,26,46,-0.9702746365105008
DaaruBaazMehta,2021.0,9441,185,116,-0.9757245997698022
DaaruBaazMehta,2022.0,7982,498,27,-0.9932575852166313
DaaruBaazMehta,2023.0,1699,63,15,-0.9824970828471412
DainikBhaskar,2020.0,583,62,268,-0.3701527614571093
DainikBhaskar,2021.0,2628,330,645,-0.6058661778185152
DainikBhaskar,2022.0,1937,252,458,-0.617536534446764
DainikBhaskar,2023.0,2073,386,330,-0.7253433208489388
DeccanHerald,2020.0,226,26,101,-0.382262996941896
DeccanHerald,2021.0,316,38,102,-0.5119617224880383
DeccanHerald,2022.0,158,14,43,-0.572139303482587
DeccanHerald,2023.0,61,5,9,-0.7428571428571429
DeekshaNRaut,2020.0,651,4,0,-1.0
DeekshaNRaut,2021.0,1666,264,3,-0.9964050329538646
DeekshaNRaut,2022.0,676,80,6,-0.9824046920821115
DeekshaNRaut,2023.0,36,12,1,-0.9459459459459459
DeepakSEditor,2020.0,84,2,1,-0.9764705882352941
DeepakSEditor,2021.0,1498,130,88,-0.8890290037831021
DeepakSEditor,2022.0,1612,167,78,-0.9076923076923077
DeepakSEditor,2023.0,676,60,16,-0.953757225433526
DeepikaBhardwaj,2020.0,20,1,169,0.7883597883597884
DeepikaBhardwaj,2021.0,91,35,330,0.5676959619952494
DeepikaBhardwaj,2022.0,55,37,264,0.6551724137931034
DeepikaBhardwaj,2023.0,46,28,113,0.42138364779874216
DeepikaSRajawat,2020.0,3375,226,63,-0.9633507853403142
DeepikaSRajawat,2021.0,2529,484,43,-0.9665629860031104
DeepikaSRajawat,2022.0,706,109,5,-0.9859353023909986
DeepikaSRajawat,2023.0,91,16,0,-1.0
DefenceMinIndia,2020.0,107,161,4848,0.9568113017154389
DefenceMinIndia,2021.0,63,268,8102,0.9845682792406614
DefenceMinIndia,2022.0,57,178,3426,0.967269595176572
DefenceMinIndia,2023.0,3,48,1398,0.9957173447537473
DelhiPolice,2020.0,170,15,302,0.2796610169491525
DelhiPolice,2021.0,134,24,819,0.7187827911857293
DelhiPolice,2022.0,136,37,505,0.5756630265210608
DelhiPolice,2023.0,93,20,296,0.5218508997429306
DesiStupides,2020.0,1064,49,2,-0.9962476547842402
DesiStupides,2021.0,1298,89,6,-0.99079754601227
DesiStupides,2022.0,98,3,2,-0.96
Dharmendra_Lko,2020.0,1,2,37,0.9473684210526315
Dharmendra_Lko,2021.0,4,4,69,0.8904109589041096
Dharmendra_Lko,2022.0,1,0,6,0.7142857142857143
DilliDurAst,2020.0,895,46,11,-0.9757174392935982
DilliDurAst,2021.0,899,60,10,-0.977997799779978
DilliDurAst,2022.0,210,22,3,-0.971830985915493
DilliDurAst,2023.0,41,6,2,-0.9069767441860465
Dilsedesh,2020.0,2966,250,16,-0.9892689470154259
Dilsedesh,2021.0,7919,2098,22,-0.994459136128951
Dilsedesh,2022.0,2578,103,2,-0.9984496124031008
DineshKumarLive,2020.0,526,186,296,-0.2798053527980535
DineshKumarLive,2021.0,1750,466,446,-0.5938069216757741
DineshKumarLive,2022.0,316,79,57,-0.6943699731903485
DineshKumarLive,2023.0,1551,301,82,-0.8995713410900184
DivyaSoti,2020.0,20,12,378,0.8994974874371859
DivyaSoti,2021.0,16,35,595,0.9476268412438625
DivyaSoti,2022.0,5,70,594,0.9833055091819699
DivyaSoti,2023.0,1,12,117,0.9830508474576272
DoJ_India,2020.0,0,2,5,1.0
DoJ_India,2021.0,0,0,50,1.0
DoJ_India,2022.0,1,0,166,0.9880239520958084
DrDatta01,2021.0,43,0,1,-0.9545454545454546
DrDatta01,2022.0,19,1,0,-1.0
DrDatta01,2023.0,272,60,5,-0.9638989169675091
DrNehalVaidya,2020.0,265,1,0,-1.0
DrNehalVaidya,2021.0,419,22,53,-0.7754237288135594
DrNehalVaidya,2022.0,668,49,14,-0.9589442815249267
DrNehalVaidya,2023.0,152,18,3,-0.9612903225806452
DrVijayChormare,2021.0,354,28,5,-0.9721448467966574
DrVijayChormare,2022.0,264,97,0,-1.0
DrVijayChormare,2023.0,47,20,0,-1.0
DuttYogi,2020.0,18,22,624,0.9439252336448598
DuttYogi,2021.0,66,46,1197,0.8954869358669834
DuttYogi,2022.0,8,10,126,0.8805970149253731
DuttYogi,2023.0,2,8,107,0.963302752293578
ETNOWlive,2020.0,80,4,161,0.3360995850622407
ETNOWlive,2021.0,113,25,248,0.3739612188365651
ETNOWlive,2022.0,65,33,269,0.6107784431137725
ETNOWlive,2023.0,22,3,44,0.3333333333333333
EastMojo,2020.0,82,3,74,-0.05128205128205128
EastMojo,2021.0,188,19,93,-0.33807829181494664
EastMojo,2022.0,89,7,76,-0.07878787878787878
EastMojo,2023.0,47,2,14,-0.5409836065573771
EconomicTimes,2020.0,353,41,360,0.009817671809256662
EconomicTimes,2021.0,629,86,760,0.09431245500359971
EconomicTimes,2022.0,383,110,407,0.030379746835443037
EconomicTimes,2023.0,177,25,137,-0.12738853503184713
EduMinOfIndia,2020.0,76,96,626,0.7834757834757835
EduMinOfIndia,2021.0,18,95,971,0.9635995955510617
EduMinOfIndia,2022.0,14,94,1862,0.9850746268656716
EduMinOfIndia,2023.0,6,53,512,0.9768339768339769
ErikSolheim,2020.0,192,88,278,0.1829787234042553
ErikSolheim,2021.0,316,151,626,0.32908704883227174
ErikSolheim,2022.0,477,208,1085,0.3892445582586428
ErikSolheim,2023.0,81,51,446,0.6925996204933587
ExSecular,2020.0,52,37,839,0.8832772166105499
ExSecular,2021.0,44,176,2415,0.964213094753965
ExSecular,2022.0,13,15,1125,0.9771528998242531
ExSecular,2023.0,5,6,430,0.9770114942528736
FarahKhanAli,2020.0,189,15,6,-0.9384615384615385
FarahKhanAli,2021.0,193,20,2,-0.9794871794871794
FarahKhanAli,2022.0,28,10,0,-1.0
FarahKhanAli,2023.0,1,0,0,-1.0
FinMinIndia,2020.0,54,78,3608,0.9705079191698526
FinMinIndia,2021.0,25,233,4842,0.9897267310458188
FinMinIndia,2022.0,34,93,3916,0.9827848101265823
FinMinIndia,2023.0,3,29,1484,0.995965030262273
FinancialXpress,2020.0,73,5,77,0.02666666666666667
FinancialXpress,2021.0,121,22,128,0.028112449799196786
FinancialXpress,2022.0,45,10,69,0.21052631578947367
FinancialXpress,2023.0,7,1,6,-0.07692307692307693
FitBharat,2020.0,25,4,450,0.8947368421052632
FitBharat,2021.0,18,19,711,0.9506172839506173
FitBharat,2022.0,8,5,147,0.896774193548387
FltLtAnoopVerma,2020.0,1,0,88,0.9775280898876404
FltLtAnoopVerma,2021.0,42,86,548,0.8576271186440678
FltLtAnoopVerma,2022.0,8,47,531,0.9703153988868275
FltLtAnoopVerma,2023.0,8,14,385,0.9592875318066157
FollowCII,2020.0,11,4,123,0.835820895522388
FollowCII,2021.0,7,21,114,0.8842975206611571
FollowCII,2022.0,5,5,87,0.8913043478260869
FollowCII,2023.0,4,2,11,0.4666666666666667
FrustIndian,2020.0,3,5,140,0.958041958041958
FrustIndian,2021.0,6,4,189,0.9384615384615385
FrustIndian,2022.0,1,0,156,0.9872611464968153
FrustIndian,2023.0,1,6,30,0.9354838709677419
Gabbar0099,2020.0,98,8,1,-0.9797979797979798
Gabbar0099,2021.0,179,22,6,-0.9351351351351351
Gabbar0099,2022.0,264,27,6,-0.9555555555555556
Gabbar0099,2023.0,206,26,16,-0.8558558558558559
GabbbarSingh,2020.0,41,4,48,0.07865168539325842
GabbbarSingh,2021.0,28,13,261,0.8062283737024222
GabbbarSingh,2022.0,29,12,199,0.7456140350877193
GabbbarSingh,2023.0,34,13,101,0.4962962962962963
Gajjusay,2020.0,174,185,2441,0.8669216061185469
Gajjusay,2021.0,474,603,9642,0.9062870699881376
Gajjusay,2022.0,12,31,333,0.9304347826086956
Gajjusay,2023.0,0,5,20,1.0
GaonConnection,2020.0,553,77,81,-0.7444794952681388
GaonConnection,2021.0,581,87,101,-0.7038123167155426
GaonConnection,2022.0,40,9,19,-0.3559322033898305
GaonConnection,2023.0,4,3,2,-0.3333333333333333
GaurangBhardwa1,2020.0,14,4,75,0.6853932584269663
GaurangBhardwa1,2021.0,14,33,357,0.9245283018867925
GaurangBhardwa1,2022.0,8,8,189,0.9187817258883249
GaurangBhardwa1,2023.0,7,8,46,0.7358490566037735
Geeta_Mohan,2020.0,72,2,49,-0.19008264462809918
Geeta_Mohan,2021.0,85,4,94,0.05027932960893855
Geeta_Mohan,2022.0,26,12,32,0.10344827586206896
Geeta_Mohan,2023.0,15,3,5,-0.5
GemsOfBollywood,2020.0,19,15,552,0.9334500875656743
GemsOfBollywood,2021.0,6,40,1265,0.990558615263572
GemsOfBollywood,2022.0,11,50,2061,0.9893822393822393
GemsOfBollywood,2023.0,3,22,827,0.9927710843373494
GoI_MeitY,2020.0,4,7,139,0.9440559440559441
GoI_MeitY,2021.0,10,76,183,0.8963730569948186
GoI_MeitY,2022.0,6,68,338,0.9651162790697675
GoI_MeitY,2023.0,1,5,82,0.9759036144578314
GorakhnathMndr,2020.0,13,9,213,0.8849557522123894
GorakhnathMndr,2021.0,6,43,412,0.9712918660287081
GorakhnathMndr,2022.0,7,63,466,0.9704016913319239
GorakhnathMndr,2023.0,18,63,178,0.8163265306122449
Gujju_Er,2020.0,4,3,74,0.8974358974358975
Gujju_Er,2021.0,2,12,109,0.963963963963964
Gujju_Er,2022.0,1,4,72,0.9726027397260274
Gujju_Er,2023.0,1,1,147,0.9864864864864865
HMOIndia,2020.0,63,81,2213,0.9446397188049209
HMOIndia,2021.0,60,249,3147,0.9625818521983162
HMOIndia,2022.0,77,208,2788,0.9462478184991274
HMOIndia,2023.0,22,53,785,0.9454770755885997
HTMumbai,2020.0,28,29,7,-0.6
HTMumbai,2021.0,21,20,5,-0.6153846153846154
HTMumbai,2022.0,16,4,3,-0.6842105263157895
HTMumbai,2023.0,9,0,1,-0.8
HansrajMeena,2020.0,10179,606,193,-0.9627844195912071
HansrajMeena,2021.0,20424,1832,528,-0.9495990836197021
HansrajMeena,2022.0,6051,661,104,-0.9662063363119415
HansrajMeena,2023.0,723,81,16,-0.9566982408660352
HarshadaSwakul,2020.0,73,59,1,-0.972972972972973
HarshadaSwakul,2021.0,158,71,0,-1.0
HarshadaSwakul,2022.0,5,6,0,-1.0
HarshadaSwakul,2023.0,2,2,0,-1.0
HashTagCricket,2020.0,14,18,384,0.9296482412060302
HashTagCricket,2021.0,10,16,441,0.9556541019955654
HashTagCricket,2022.0,0,5,235,1.0
HashTagCricket,2023.0,1,0,15,0.875
HemanNamo,2020.0,4,1,244,0.967741935483871
HemanNamo,2021.0,6,9,827,0.985594237695078
HemanNamo,2022.0,6,33,1741,0.9931310818546079
HemanNamo,2023.0,5,22,208,0.9530516431924883
HeritageTimesIN,2020.0,54,1,0,-1.0
HeritageTimesIN,2021.0,57,3,3,-0.9
HeritageTimesIN,2022.0,31,2,0,-1.0
HeritageTimesIN,2023.0,3,0,0,-1.0
HinduEcosystem_,2020.0,3,5,88,0.9340659340659341
HinduEcosystem_,2021.0,35,187,2569,0.9731182795698925
HinduEcosystem_,2022.0,5,25,602,0.9835255354200988
HinduEcosystem_,2023.0,2,4,34,0.8888888888888888
HinduITCell,2020.0,3,5,190,0.9689119170984456
HinduITCell,2021.0,4,55,326,0.9757575757575757
HinduITCell,2022.0,1,31,182,0.9890710382513661
HinduITCell,2023.0,0,10,71,1.0
HindustaniTweet,2020.0,1,1,126,0.984251968503937
HindustaniTweet,2021.0,1,18,167,0.9880952380952381
HindustaniTweet,2022.0,1,3,54,0.9636363636363636
HindustaniTweet,2023.0,0,0,19,1.0
HistoryCell,2022.0,998,242,8,-0.9840954274353877
HistoryCell,2023.0,904,222,11,-0.9759562841530055
IAF_MCC,2020.0,136,149,1802,0.8596491228070176
IAF_MCC,2021.0,384,351,2424,0.7264957264957265
IAF_MCC,2022.0,45,78,641,0.8688046647230321
IAF_MCC,2023.0,19,28,196,0.8232558139534883
IASassociation,2020.0,28,34,68,0.4166666666666667
IASassociation,2021.0,47,27,108,0.3935483870967742
IASassociation,2022.0,11,6,8,-0.15789473684210525
IASassociation,2023.0,3,10,5,0.25
IAbhay_Pratap,2021.0,2,79,180,0.978021978021978
IAbhay_Pratap,2022.0,17,317,1136,0.9705117085862967
IAbhay_Pratap,2023.0,3,137,763,0.9921671018276762
IBC24News,2020.0,408,14,91,-0.6352705410821643
IBC24News,2021.0,582,87,163,-0.5624161073825503
IBC24News,2022.0,176,46,120,-0.1891891891891892
IBC24News,2023.0,231,45,109,-0.3588235294117647
IFazilaBaloch,2020.0,4,0,163,0.9520958083832335
IFazilaBaloch,2021.0,12,14,378,0.9384615384615385
IFazilaBaloch,2022.0,14,6,187,0.8606965174129353
IFazilaBaloch,2023.0,1,2,67,0.9705882352941176
IMinakshiJoshi,2020.0,278,92,1498,0.6869369369369369
IMinakshiJoshi,2021.0,292,260,3374,0.8406983087834151
IMinakshiJoshi,2022.0,202,237,2120,0.8260120585701981
IMinakshiJoshi,2023.0,23,61,462,0.9051546391752577
INCTharoorian,2020.0,663,43,1,-0.9969879518072289
INCTharoorian,2021.0,2006,100,0,-1.0
INCTharoorian,2022.0,573,13,0,-1.0
INCTharoorian,2023.0,201,1,0,-1.0
IPRD_Bihar,2020.0,8,32,73,0.8024691358024691
IPRD_Bihar,2021.0,13,284,1075,0.9761029411764706
IPRD_Bihar,2022.0,40,155,455,0.8383838383838383
IPRD_Bihar,2023.0,4,10,43,0.8297872340425532
ITBP_official,2020.0,18,28,372,0.9076923076923077
ITBP_official,2021.0,45,65,338,0.7650130548302873
ITBP_official,2022.0,6,12,263,0.9553903345724907
ITBP_official,2023.0,2,1,49,0.9215686274509803
IamNaveenKapoor,2020.0,128,47,237,0.29863013698630136
IamNaveenKapoor,2021.0,104,81,711,0.7447852760736197
IamNaveenKapoor,2022.0,24,27,356,0.8736842105263158
IamNaveenKapoor,2023.0,1,7,24,0.92
IasAlok,2020.0,3,1,14,0.6470588235294118
IasAlok,2021.0,2,0,62,0.9375
IasAlok,2022.0,0,0,14,1.0
IasAlok,2023.0,1,0,3,0.5
ImRaina,2020.0,182,44,602,0.5357142857142857
ImRaina,2021.0,195,59,584,0.4993581514762516
ImRaina,2022.0,161,42,414,0.44
ImRaina,2023.0,22,9,50,0.3888888888888889
IncomeTaxIndia,2020.0,20,18,702,0.9445983379501385
IncomeTaxIndia,2021.0,27,11,1022,0.9485224022878932
IncomeTaxIndia,2022.0,7,13,548,0.9747747747747748
IncomeTaxIndia,2023.0,10,11,149,0.8742138364779874
IndiaAheadNews,2020.0,229,21,118,-0.31988472622478387
IndiaAheadNews,2021.0,624,59,519,-0.09186351706036745
IndiaAheadNews,2022.0,525,92,1152,0.3738819320214669
IndiaAheadNews,2023.0,6,1,7,0.07692307692307693
IndiaHistorypic,2020.0,375,72,493,0.1359447004608295
IndiaHistorypic,2021.0,2022,329,971,-0.35115268960908785
IndiaHistorypic,2022.0,980,212,1494,0.20776071139854488
IndiaHistorypic,2023.0,371,47,410,0.0499359795134443
IndiaNewsUP_UK,2020.0,1,0,8,0.7777777777777778
IndiaNewsUP_UK,2021.0,15,7,61,0.6052631578947368
IndiaNewsUP_UK,2022.0,61,18,191,0.5158730158730159
IndiaNewsUP_UK,2023.0,15,3,15,0.0
IndiaSports,2020.0,2,180,54,0.9285714285714286
IndiaSports,2021.0,8,234,250,0.937984496124031
IndiaSports,2022.0,4,82,92,0.9166666666666666
IndiaSports,2023.0,0,2,1,1.0
IndiaTVHindi,2020.0,84,14,230,0.46496815286624205
IndiaTVHindi,2021.0,223,55,433,0.3201219512195122
IndiaTVHindi,2022.0,240,69,518,0.36675461741424803
IndiaTVHindi,2023.0,93,18,178,0.31365313653136534
IndiaToday,2020.0,3317,317,1655,-0.334271922767498
IndiaToday,2021.0,5271,661,2440,-0.36713785501232005
IndiaToday,2022.0,5413,682,2079,-0.44500800854244527
IndiaToday,2023.0,1334,164,505,-0.4507884719956498
Indiametdept,2020.0,41,13,119,0.4875
Indiametdept,2021.0,30,116,321,0.8290598290598291
Indiametdept,2022.0,12,15,41,0.5471698113207547
Indiametdept,2023.0,29,16,240,0.7843866171003717
IndianExpress,2020.0,1229,85,309,-0.5981794538361509
IndianExpress,2021.0,1609,187,408,-0.5954387704511651
IndianExpress,2022.0,471,101,207,-0.3893805309734513
IndianExpress,2023.0,215,36,48,-0.6349809885931559
IndianFootball,2020.0,72,5,29,-0.42574257425742573
IndianFootball,2021.0,85,49,26,-0.5315315315315315
IndianFootball,2022.0,61,63,102,0.25153374233128833
IndianFootball,2023.0,21,122,72,0.5483870967741935
IndianSinghh,2021.0,4,19,210,0.9626168224299065
IndianSinghh,2022.0,2,2,134,0.9705882352941176
IndianSinghh,2023.0,2,4,48,0.92
IndianTechGuide,2021.0,0,1,3,1.0
IndianTechGuide,2022.0,58,11,317,0.6906666666666667
IndianTechGuide,2023.0,23,35,269,0.8424657534246576
IndiasMuslims,2020.0,337,24,0,-1.0
IndiasMuslims,2021.0,48,0,0,-1.0
InfoDeptUP,2020.0,2,0,133,0.9703703703703703
InfoDeptUP,2021.0,1,1,95,0.9791666666666666
InfoDeptUP,2022.0,8,4,334,0.9532163742690059
InfoDeptUP,2023.0,7,5,208,0.9348837209302325
InfoDivPune,2020.0,103,16,21,-0.6612903225806451
InfoDivPune,2021.0,13,12,2,-0.7333333333333333
InfoDivPune,2022.0,37,29,12,-0.5102040816326531
InfoDivPune,2023.0,1,2,6,0.7142857142857143
InfoNashik,2020.0,17,12,4,-0.6190476190476191
InfoNashik,2021.0,14,21,5,-0.47368421052631576
InfoNashik,2022.0,35,29,11,-0.5217391304347826
InfoNashik,2023.0,3,0,10,0.5384615384615384
InfoVidarbha,2020.0,55,15,3,-0.896551724137931
InfoVidarbha,2021.0,175,50,7,-0.9230769230769231
InfoVidarbha,2022.0,5,9,6,0.09090909090909091
InfoVidarbha,2023.0,0,0,9,1.0
Info_Pune,2020.0,46,2,21,-0.373134328358209
Info_Pune,2021.0,20,33,6,-0.5384615384615384
Info_Pune,2022.0,59,36,30,-0.3258426966292135
Info_Pune,2023.0,4,2,31,0.7714285714285715
Interceptors,2020.0,72,2,237,0.5339805825242718
Interceptors,2021.0,145,13,360,0.42574257425742573
Interceptors,2022.0,76,7,163,0.36401673640167365
Interceptors,2023.0,13,3,35,0.4583333333333333
InvestInUp,2022.0,5,36,247,0.9603174603174603
InvestInUp,2023.0,44,19,391,0.7977011494252874
Iyervval,2020.0,39,19,447,0.8395061728395061
Iyervval,2021.0,44,30,667,0.8762306610407876
Iyervval,2022.0,20,49,482,0.9203187250996016
Iyervval,2023.0,24,35,486,0.9058823529411765
JagranNews,2020.0,573,69,558,-0.013262599469496022
JagranNews,2021.0,295,207,828,0.4746215494211932
JagranNews,2022.0,265,43,362,0.1547049441786284
JagranNews,2023.0,119,11,120,0.0041841004184100415
JaiMaharashtraN,2020.0,27,6,12,-0.38461538461538464
JaiMaharashtraN,2021.0,102,61,416,0.6061776061776062
JaiMaharashtraN,2022.0,134,99,248,0.29842931937172773
JaiMaharashtraN,2023.0,54,21,38,-0.17391304347826086
JaipurDialogues,2020.0,0,0,16,1.0
JaipurDialogues,2021.0,1,22,232,0.9914163090128756
JaipurDialogues,2022.0,11,58,639,0.9661538461538461
JaipurDialogues,2023.0,6,51,617,0.9807383627608347
JansamparkMP,2020.0,1005,56,2747,0.4642857142857143
JansamparkMP,2021.0,2392,132,2779,0.07484045639141365
JansamparkMP,2022.0,1530,211,1415,-0.03904923599320883
JansamparkMP,2023.0,1424,102,771,-0.29749430523917997
Jansatta,2020.0,146,3,34,-0.6222222222222222
Jansatta,2021.0,247,35,45,-0.6917808219178082
Jansatta,2022.0,592,51,74,-0.7777777777777778
Jansatta,2023.0,254,23,15,-0.8884758364312267
JantaKaReporter,2020.0,194,6,7,-0.9303482587064676
JantaKaReporter,2021.0,482,30,11,-0.9553752535496958
JantaKaReporter,2022.0,76,10,1,-0.974025974025974
JantaKaReporter,2023.0,6,2,2,-0.5
JatinPaul,2020.0,28,0,23,-0.09803921568627451
JatinPaul,2021.0,108,3,113,0.02262443438914027
JatinPaul,2022.0,10,2,35,0.5555555555555556
JatinPaul,2023.0,6,0,22,0.5714285714285714
Javedakhtarjadu,2020.0,350,34,44,-0.7766497461928934
Javedakhtarjadu,2021.0,185,24,9,-0.9072164948453608
Javedakhtarjadu,2022.0,88,12,11,-0.7777777777777778
Javedakhtarjadu,2023.0,10,3,2,-0.6666666666666666
JournoAshutosh,2020.0,457,7,21,-0.9121338912133892
JournoAshutosh,2021.0,562,39,16,-0.9446366782006921
JournoAshutosh,2022.0,484,35,10,-0.9595141700404858
JournoAshutosh,2023.0,170,4,0,-1.0
Joydas,2020.0,1054,20,12,-0.9774859287054409
Joydas,2021.0,1523,199,23,-0.9702457956015524
Joydas,2022.0,367,51,13,-0.9315789473684211
Joydas,2023.0,129,11,3,-0.9545454545454546
KBByju,2020.0,613,18,1,-0.996742671009772
KBByju,2021.0,381,19,1,-0.9947643979057592
KBByju,2022.0,1042,99,0,-1.0
KBByju,2023.0,19,0,0,-1.0
KanchanGupta,2020.0,62,14,1250,0.9054878048780488
KanchanGupta,2021.0,100,105,3161,0.9386691199018706
KanchanGupta,2022.0,135,84,3040,0.9149606299212598
KanchanGupta,2023.0,22,21,759,0.9436619718309859
KanganaTeam,2020.0,389,882,14559,0.947952903398448
KanganaTeam,2021.0,96,220,4656,0.9595959595959596
KanganaTeam,2023.0,8,20,334,0.9532163742690059
KanoongoPriyank,2020.0,47,4,325,0.7473118279569892
KanoongoPriyank,2021.0,30,52,506,0.8880597014925373
KanoongoPriyank,2022.0,13,128,414,0.9391100702576113
KanoongoPriyank,2023.0,18,56,215,0.8454935622317596
KashifKakvi,2020.0,36,0,0,-1.0
KashifKakvi,2021.0,766,67,17,-0.9565772669220945
KashifKakvi,2022.0,503,23,1,-0.996031746031746
KashifKakvi,2023.0,259,5,2,-0.9846743295019157
KashishBihar,2020.0,247,108,367,0.19543973941368079
KashishBihar,2021.0,164,55,149,-0.04792332268370607
KashishBihar,2022.0,23,7,117,0.6714285714285714
KashishBihar,2023.0,18,2,13,-0.16129032258064516
Kaur0211,2020.0,512,17,2,-0.9922178988326849
Kaur0211,2021.0,939,185,0,-1.0
Kaur0211,2022.0,1,1,0,-1.0
Kaur0211,2023.0,1,0,0,-1.0
Khushi9595,2020.0,130,29,35,-0.5757575757575758
Khushi9595,2021.0,641,622,40,-0.882525697503671
Khushi9595,2022.0,915,332,166,-0.692876965772433
KiranKS,2020.0,160,24,1041,0.7335553705245629
KiranKS,2021.0,53,23,1258,0.9191456903127384
KiranKS,2022.0,7,15,604,0.9770867430441899
KiranKS,2023.0,6,6,319,0.963076923076923
Kisanektamorcha,2020.0,579,41,24,-0.9203980099502488
Kisanektamorcha,2021.0,5296,269,49,-0.981665107577175
Kisanektamorcha,2022.0,369,18,3,-0.9838709677419355
KotaNeelima,2020.0,581,71,2,-0.9931389365351629
KotaNeelima,2021.0,1826,149,4,-0.9956284153005465
KotaNeelima,2022.0,1408,51,3,-0.9957476966690291
KotaNeelima,2023.0,545,42,3,-0.9890510948905109
KotwalMeena,2020.0,252,25,16,-0.8805970149253731
KotwalMeena,2021.0,1351,342,45,-0.9355300859598854
KotwalMeena,2022.0,1263,178,27,-0.958139534883721
KotwalMeena,2023.0,288,65,17,-0.8885245901639345
KreatelyMedia,2020.0,196,181,3630,0.8975431259801359
KreatelyMedia,2021.0,176,940,11062,0.9686777006584801
KreatelyMedia,2022.0,32,718,9018,0.9929281767955801
KreatelyMedia,2023.0,8,709,3245,0.9950814632646787
KumarVikrantS,2020.0,250,5,1,-0.9920318725099602
KumarVikrantS,2021.0,176,8,1,-0.9887005649717514
KumarVikrantS,2022.0,626,74,2,-0.9936305732484076
KumarVikrantS,2023.0,156,26,0,-1.0
Kush_voice,2020.0,875,68,36,-0.9209659714599341
Kush_voice,2021.0,1212,71,55,-0.9131807419100236
Kush_voice,2022.0,624,83,11,-0.9653543307086614
Kush_voice,2023.0,74,4,1,-0.9733333333333334
LGov_Puducherry,2020.0,1,1,16,0.8823529411764706
LGov_Puducherry,2021.0,33,25,325,0.8156424581005587
LGov_Puducherry,2022.0,21,52,115,0.6911764705882353
LGov_Puducherry,2023.0,2,2,268,0.9851851851851852
LabourMinistry,2020.0,3,2,119,0.9508196721311475
LabourMinistry,2021.0,19,22,188,0.8164251207729468
LabourMinistry,2022.0,0,19,109,1.0
LabourMinistry,2023.0,1,3,62,0.9682539682539683
Liberal_India1,2020.0,728,8,0,-1.0
Liberal_India1,2021.0,2335,102,0,-1.0
Liberal_India1,2022.0,3510,237,1,-0.9994303617203076
Liberal_India1,2023.0,1647,117,3,-0.9963636363636363
LicypriyaK,2020.0,249,10,37,-0.7412587412587412
LicypriyaK,2021.0,1201,83,32,-0.9480940794809408
LicypriyaK,2022.0,279,38,63,-0.631578947368421
LicypriyaK,2023.0,106,23,7,-0.8761061946902655
LiveAdalat,2022.0,10,30,686,0.9712643678160919
LiveLawIndia,2020.0,1909,114,642,-0.49666797334378676
LiveLawIndia,2021.0,3705,227,1029,-0.5652724968314322
LiveLawIndia,2022.0,2178,262,721,-0.502587098999655
LiveLawIndia,2023.0,1799,218,393,-0.6414233576642335
Live_Hindustan,2020.0,276,20,370,0.14551083591331268
Live_Hindustan,2021.0,236,32,291,0.10436432637571158
Live_Hindustan,2022.0,231,40,138,-0.25203252032520324
Live_Hindustan,2023.0,51,21,43,-0.0851063829787234
LokSabhaSectt,2020.0,8,12,228,0.9322033898305084
LokSabhaSectt,2021.0,26,37,494,0.9
LokSabhaSectt,2022.0,41,43,383,0.8066037735849056
LokSabhaSectt,2023.0,21,21,310,0.8731117824773413
LoksattaLive,2020.0,412,209,222,-0.2996845425867508
LoksattaLive,2021.0,735,425,360,-0.3424657534246575
LoksattaLive,2022.0,629,700,260,-0.4150731158605174
LoksattaLive,2023.0,542,250,126,-0.6227544910179641
LostTemple7,2020.0,35,387,1347,0.9493487698986975
LostTemple7,2021.0,81,300,2651,0.9407027818448024
LostTemple7,2022.0,46,153,860,0.8984547461368654
LostTemple7,2023.0,11,36,331,0.935672514619883
LutyensMediaIN,2022.0,8386,2636,15,-0.99642899654803
LutyensMediaIN,2023.0,2771,1128,57,-0.9596888260254597
MANJULtoons,2020.0,1328,28,35,-0.9486426999266324
MANJULtoons,2021.0,3099,181,262,-0.8440940196370128
MANJULtoons,2022.0,1934,154,78,-0.9224652087475149
MANJULtoons,2023.0,731,48,31,-0.9186351706036745
MDoNER_India,2020.0,14,16,201,0.8697674418604651
MDoNER_India,2021.0,43,39,314,0.7591036414565826
MDoNER_India,2022.0,4,48,523,0.9848197343453511
MDoNER_India,2023.0,4,7,100,0.9230769230769231
MEAIndia,2020.0,11,12,492,0.9562624254473161
MEAIndia,2021.0,99,277,4539,0.9573091849935317
MEAIndia,2022.0,87,182,2230,0.9249028916702633
MEAIndia,2023.0,13,195,1022,0.9748792270531401
MIB_Hindi,2020.0,0,12,95,1.0
MIB_Hindi,2021.0,4,13,168,0.9534883720930233
MIB_Hindi,2022.0,11,20,180,0.8848167539267016
MIB_Hindi,2023.0,0,8,65,1.0
MIB_India,2020.0,6,14,325,0.9637462235649547
MIB_India,2021.0,26,96,1487,0.9656311962987442
