original_author,year,opposition,other,ruling,polarity_yearly
AdityaRajKaul,2020.0,221,153,2324,0.8263261296660118
AdityaRajKaul,2021.0,478,226,3856,0.7794185509921551
AdityaRajKaul,2022.0,250,219,4000,0.8823529411764706
AdityaRajKaul,2023.0,41,31,689,0.8876712328767123
Advaidism,2020.0,428,21,6,-0.9723502304147466
Advaidism,2021.0,496,63,19,-0.9262135922330097
Advaidism,2022.0,589,63,17,-0.9438943894389439
Advaidism,2023.0,385,41,18,-0.9106699751861043
AdvaitaKala,2020.0,88,20,539,0.7192982456140351
AdvaitaKala,2021.0,61,15,789,0.8564705882352941
AdvaitaKala,2022.0,15,9,143,0.810126582278481
AdvaitaKala,2023.0,14,6,74,0.6818181818181818
AgriGoI,2020.0,49,25,1336,0.9292418772563177
AgriGoI,2021.0,13,74,979,0.9737903225806451
AgriGoI,2022.0,18,18,514,0.9323308270676691
AgriGoI,2023.0,21,24,301,0.8695652173913043
Ajaykumar00009,2020.0,535,131,1,-0.996268656716418
Ajaykumar00009,2021.0,991,482,6,-0.9879638916750251
Ajaykumar00009,2022.0,667,102,7,-0.9792284866468842
Ajaykumar00009,2023.0,224,16,1,-0.9911111111111112
AjeetBhartii,2022.0,55,65,673,0.8489010989010989
AjeetBhartii,2023.0,0,4,101,1.0
AjiHaaan,2020.0,0,27,661,1.0
AjiHaaan,2021.0,5,28,1360,0.9926739926739927
AjiHaaan,2022.0,2,12,603,0.9933884297520661
AjiHaaan,2023.0,2,4,194,0.9795918367346939
AkashvaniAIR,2020.0,13,12,200,0.8779342723004695
AkashvaniAIR,2021.0,12,23,333,0.9304347826086956
AkashvaniAIR,2022.0,8,13,209,0.9262672811059908
AkashvaniAIR,2023.0,1,5,38,0.9487179487179487
Akhilesh_parody,2020.0,154,26,1,-0.9870967741935484
Akhilesh_parody,2021.0,163,46,1,-0.9878048780487805
Akhilesh_parody,2022.0,18,2,0,-1.0
AlokTiwari9335,2020.0,213,131,2164,0.8207824989482541
AlokTiwari9335,2021.0,519,1178,4864,0.807170722645365
AlokTiwari9335,2022.0,136,340,2450,0.8948182521268369
AlokTiwari9335,2023.0,14,213,535,0.9489981785063752
AltNewsHindi,2020.0,377,6,3,-0.9842105263157894
