source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
7825321,"""Beginning Of End Of Dictatorship"": Uddhav Thackeray On Rahul Gandhi Case https://t.co/Nwnz9naasb https://t.co/58NNNEBtRa",ndtvfeed,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.6121}, {'text': 'thackeray', 'score': 0.3547}, {'text': 'case', 'score': 0.2408}]"
276675,"‘Dictatorship’, no ‘accountability’, no jobs: People in Jammu say Modi govt has failed them

Assistant professor at Azim Premji University Rajendran Narayanan @rajendran_naray and social activist Sandeep Pandey @sandeep4justice write in #ThePrintOpinion 

https://t.co/qHYLfAttss",ThePrintIndia,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.5772}, {'text': 'failed', 'score': 0.3793}, {'text': 'jobs', 'score': 0.3292}]"
7594991,"Sources: Paramilitary forces called in to arrest opposition leader at Islamabad airport - for daring to speak against the Pakistan Prime Minister.
Every day this nation keeps throttling democracy &amp; moves closer to becoming an open political dictatorship. https://t.co/oHKN3QtOuB",TheDeshBhakt,Pro OPP,pro opposition,dictatorship,"[{'text': 'pakistan', 'score': 0.518}, {'text': 'airport', 'score': 0.3629}, {'text': 'leader', 'score': 0.3418}]"
5532401,"NCP chief Sharad said in Srilanka, common people entered in President House, &amp; ruler family has to flew away from their own country. He said people do not tolerate dictatorship. If anyone misuses power, people will not tolerate &amp; will raise their voice against tyranny of govt.",ss_suryawanshi,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.6035}, {'text': 'srilanka', 'score': 0.3864}, {'text': 'family', 'score': 0.233}]"
1280607,"Certain business houses in India are gaining tremendous political power through their proximity to power centres. Concentration of such economic and political power lead countries to dictatorship and such a situation led Japan to world war - Raguram Rajan
 https://t.co/X5jHfOZd3f",t_d_h_nair,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.4277}, {'text': 'india', 'score': 0.364}, {'text': 'proximity', 'score': 0.1872}]"
3147603,"@ajitanjum @Samriddhi0809 @BjpBiplab Hear this debate and understand that India is heading for #dictatorship which can also be seen by order of extending CBI/ED director by 5year
and incident of a CM of BJP state openly #threaten Court hence is serious issue @LiveLawIndia @barandbench @pradeepraiindia @RahulGandhi https://t.co/O2EjXHxJXN",Ajaykumar00009,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.6165}, {'text': 'india', 'score': 0.5132}, {'text': 'extending', 'score': 0.1953}]"
7703081,"#RahulGandhiDisqualified: Rajasthan CM #AshokGehlot hit out at the BJP following the disqualification of Rahul Gandhi, saying that the Congress leader is the voice of the nation and he will come out stronger against ""dictatorship"". https://t.co/IY7GRsdh1W",NH_India,Pro OPP,pro opposition,dictatorship,"[{'text': 'leader', 'score': 0.4734}, {'text': 'disqualification', 'score': 0.2908}, {'text': 'hit', 'score': 0.1228}]"
3666088,"Justin Trudeau was shouting from rooftops when India used water cannon during ""farmer"" protests.

Thousands of desperate Cubans are on streets today, demanding freedom from leftist dictatorship.

But Trudeau is silent.

Understand that global elite is trying to crush India.",AbhishBanerj,Pro Ruling,pro ruling,dictatorship,"[{'text': 'protests', 'score': 0.4562}, {'text': 'india', 'score': 0.3284}, {'text': 'farmer', 'score': 0.1296}]"
1603039,"“RSS stood between the dictatorship and democracy""

https://t.co/vRqfL1ZzWk",prafullaketkar,Pro Ruling,pro ruling,dictatorship,"[{'text': 'dictatorship', 'score': 0.6724}, {'text': 'rss', 'score': 0.3992}, {'text': 'stood', 'score': 0.3103}]"
7153736,"1. ""Bhakti in religion may be a road to the salvation of the soul. But in politics, Bhakti or hero-worship is a sure road to degradation and to eventual dictatorship.""

- Dr B. R. Ambedkar 

2. Kejriwal opposed Reservation all his life - Through Youth for Equality ! https://t.co/2fDKJic5uV",rachitseth,Pro OPP,pro opposition,dictatorship,"[{'text': 'bhakti', 'score': 0.5897}, {'text': 'dictatorship', 'score': 0.424}, {'text': 'degradation', 'score': 0.2135}]"
454452,"The fake narrative peddlers should revisit how “ @RSSorg stood between the dictatorship and democracy"" #Emergency1975HauntsIndia  

https://t.co/vRqfL1HYxK",prafullaketkar,Pro Ruling,pro ruling,dictatorship,"[{'text': 'dictatorship', 'score': 0.5382}, {'text': 'rssorg', 'score': 0.3428}, {'text': 'fake', 'score': 0.319}]"
1921028,"4 FIRs-CID investigation against @OpIndia_com , @rahulroushan @UnSubtleDesi by Mamata govt for exposing them..

This is what called the real dictatorship &amp; media censorship..",MrSinha_,Pro Ruling,pro ruling,dictatorship,"[{'text': 'censorship', 'score': 0.5511}, {'text': 'opindia_com', 'score': 0.4158}, {'text': 'mamata', 'score': 0.1912}]"
5930221,"Congress leader #RahulGandhi alleged that India is witnessing the ""death of democracy"" and anybody who stands against the onset of dictatorship is ""viciously attacked"".
https://t.co/WVzj6TTr27",the_hindu,Pro OPP,pro opposition,dictatorship,"[{'text': 'democracy', 'score': 0.4315}, {'text': 'india', 'score': 0.3836}, {'text': 'attacked', 'score': 0.2898}]"
2279803,"LIVE | ""Earlier, there was democracy in the country. Today it is a dictatorship. The government is insulting the farmers. The opposition leaders are barred from entering #Lakhimpur. This is what happens in a dictatorship,"" #RahulGandhi says. 
 https://t.co/cnWEQnnnhR",IndianExpress,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.6513}, {'text': 'farmers', 'score': 0.3481}, {'text': 'insulting', 'score': 0.1756}]"
6230129,"Anybody who stands against the dictatorship of BJP,BJP viciously attacks ,arrests and put them 
in Jail

#महंगाई_पर_हल्ला_बोल https://t.co/ISojz4FMsx",bole_bharat,Pro OPP,pro opposition,dictatorship,"[{'text': 'attacks', 'score': 0.5232}, {'text': 'dictatorship', 'score': 0.5207}, {'text': 'stands', 'score': 0.2036}]"
7681809,"Sharukh Khan; Amitabh Bachchan  &amp; Shabana Azmi these are the Bollywood stars who supports every Initiative of Mamta Banerjee. Let's see whether these stars stands for FoE or not.

You can give a #Boycott call in democracy but Ban is dictatorship.",thakkar_sameet,Pro Ruling,pro ruling,dictatorship,"[{'text': 'bollywood', 'score': 0.5138}, {'text': 'dictatorship', 'score': 0.4072}, {'text': 'boycott', 'score': 0.3425}]"
5019838,"Equating the #Lakhimpur incident with the Jallianwala Bagh massacre, Channi said, “Yeh dictatorship nahi chalegi (this dictatorship can't go on).”
https://t.co/6lm4eJE78w",IndianExpress,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.643}, {'text': 'bagh', 'score': 0.3839}, {'text': 'incident', 'score': 0.1726}]"
6667182,"Some anti-environment groups blame the organic farming policy of the Rajapaksas for the Sri Lanka crisis. Nothing wrong with the policy but the way a megalomaniac dictatorship implemented it. No democrat will ban chemical fertilizer without notice, like demonetization in India.",ashoswai,Pro OPP,pro opposition,dictatorship,"[{'text': 'fertilizer', 'score': 0.4229}, {'text': 'organic', 'score': 0.3774}, {'text': 'dictatorship', 'score': 0.2693}]"
7636495,"Uddhav Thackeray addressing MVA, said all pillars of democracy r sold out except judiciary. Media also instead of holding pen in their hand, seen wid Lotus. Judiciary is last hope. In country situation is like either you join BJP or b ready to go jail. Dictatorship at door step.",ss_suryawanshi,Pro OPP,pro opposition,dictatorship,"[{'text': 'judiciary', 'score': 0.5177}, {'text': 'media', 'score': 0.3453}, {'text': 'thackeray', 'score': 0.2753}]"
2740108,Our #wednesdaythought :The greatest #Toolkit against dictatorship was given by #MahatmaGandhi which inspired #MartinLutherKing continents away! I request Hon'ble PM to stop being scared of an 18year old #GretaThunberg &amp; stop misleading our India. #andolanjivi #WednesdayMotivation https://t.co/lwZMiZngFC,tehseenp,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.5957}, {'text': 'india', 'score': 0.3667}, {'text': 'toolkit', 'score': 0.1739}]"
516626,"We are living in Democracy.

But it seams there is Dictatorship in Maharashtra.

Rhea's spokesperson Sanjay Raut is defaming SSR family daily.

Suspicious death circumstances but no FIR &amp; investigation.

Rakshak hi bhakshak ban baitha hai.

There is No JUSTICE.

 #CBIForSSR",ippatel,Pro Ruling,pro ruling,dictatorship,"[{'text': 'maharashtra', 'score': 0.5769}, {'text': 'dictatorship', 'score': 0.5393}, {'text': 'death', 'score': 0.2755}]"
1659987,"We in India are fighting the dictatorship &amp; religious extremism of PM Modi, who is  following the footsteps of #Erdogan . 
Disappointed to see actor #AmirKhan endorse the #Erdogan family &amp; praise them. Spineless and disappointing!! 
#SundayThoughts https://t.co/SbK91G3ifH",tehseenp,Pro OPP,pro opposition,dictatorship,"[{'text': 'amir', 'score': 0.5032}, {'text': 'india', 'score': 0.3805}, {'text': 'spineless', 'score': 0.0328}]"
3234477,"Why do Western governments turn a blind eye to Pak terrorism in #Afghanistan, propping up the thuggish #Taliban? The West has a long history of employing rogue dictatorships like Pak to do its dirty geopolitical work. My ⁦@SwarajyaMag⁩ column https://t.co/pVB9xRWQpV",MinhazMerchant,Pro Ruling,pro ruling,dictatorship,"[{'text': 'taliban', 'score': 0.5778}, {'text': 'west', 'score': 0.163}, {'text': 'blind', 'score': 0.0583}]"
3265829,"You are asking ridiculous questions. A democracy does not have questions like this. These questions are not asked in a democracy, but in a dictatorship- Shri @RahulGandhi 
#IndiaDemandsJustice",nehajoychauhan,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.4665}, {'text': 'india', 'score': 0.3239}, {'text': 'questions', 'score': 0.2483}]"
5374353,"Mr @RahulGandhi : 

How are you enjoying the onset of dictatorship in India. Are you enjoying it? What we are witnessing is the death of democracy in India: https://t.co/t3BAf5RE6k",Supriya23bh,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.5624}, {'text': 'india', 'score': 0.4475}, {'text': 'enjoying', 'score': 0.3423}]"
3257705,Hero-worship is a sure road to eventual dictatorship: Ambedkar's warning for the Indian media https://t.co/PXf6dzI3I5,waglenikhil,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.5659}, {'text': 'indian', 'score': 0.479}, {'text': 'hero', 'score': 0.4767}]"
