source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
429147,"Must read article by Shri @rammadhavbjp ji ""Ayuddha - peace forever among communities"".
Ever since SC judgement came, both communities displayed maturity and positivity towards the RamMandir. There are no triumphalism from Hindu side, and no unwholesome reaction from Muslim side. https://t.co/E2MIe3oesv",NeetuGarg6,Pro Ruling,pro ruling,ram mandir,"[{'text': 'hindu', 'score': 0.5159}, {'text': 'positivity', 'score': 0.3082}, {'text': 'forever', 'score': 0.1175}]"
193459,"81-year-old Urmila Chaturvedi, from Jabalpur, has survived for 28 years on fruits &amp; milk as part of a vow she took nearly 3 decades ago

She vowed not to eat grains till the construction of Ram Mandir begins in Ayodhya

She will finally eat grains after Bhoomi Pujan of Ram Mandir",AskAnshul,Pro Ruling,pro ruling,ram mandir,"[{'text': 'eat', 'score': 0.4303}, {'text': 'ayodhya', 'score': 0.3561}, {'text': 'survived', 'score': 0.3288}]"
4340493,"Uttar Pradesh CM Yogi Adityanth takes part in the 'Jan Vishwas Yatra' in Ghaziabad

""BJP has fulfilled its promises made 5 years ago, from Ayodhya's Ram Mandir to repealing Kashmir's Article 370 of the Constitution,"" he says https://t.co/nl22n9CkO4",ANINewsUP,Pro Ruling,pro ruling,ram mandir,"[{'text': 'yogi', 'score': 0.479}, {'text': 'fulfilled', 'score': 0.3561}, {'text': 'constitution', 'score': 0.2843}]"
6692891,"Very good initiative by Rajput Community, Group Prayer meet for 45 departed souls … 
Before Covid a senior citizen organisation use to organise Group ‘Besanu’ for every departed soul in the end of the month at Santram Mandir.. Had attended one meet when Maa passed away.. https://t.co/de6m9Ytx3U",nanditathhakur,Pro Ruling,pro ruling,ram mandir,"[{'text': 'souls', 'score': 0.502}, {'text': 'organisation', 'score': 0.2603}, {'text': 'senior', 'score': 0.1756}]"
313545,"Watch: Digital Billboard Of Lord Ram And The Ram Mandir Goes Live On New York's Times Square

https://t.co/f3L8eOjZpK",SwarajyaMag,Pro Ruling,pro ruling,ram mandir,"[{'text': 'billboard', 'score': 0.4657}, {'text': 'ram', 'score': 0.3963}, {'text': 'live', 'score': 0.3098}]"
4181126,Retweet If You Are Ram Bhakt😇🚩 #ContributeForRamMandir,Gajjusay,Pro Ruling,pro ruling,ram mandir,"[{'text': 'retweet', 'score': 0.5885}, {'text': 'ram', 'score': 0.5814}, {'text': 'contribute', 'score': 0.3323}]"
2578358,"● ""Ram Mandir"" Construction started.
● Unregulated Deposit Schemes banned.
● J&amp;K Flag Removed from J&amp;K Secretariat.
● J&amp;K Domicile Rule Redefined.

#7YearsOfSeva",go4avinash,Pro Ruling,pro ruling,ram mandir,"[{'text': 'unregulated', 'score': 0.4132}, {'text': 'secretariat', 'score': 0.3177}, {'text': '7yearsofseva', 'score': 0.2467}]"
1887732,"Hakikat me Mughal ya gouri ne koi Mandir nahi lota. Ghazni ko history kale alfaz me Likh ta h. 
Nadir Shah ne hamari Masjid ko lota Woh bhi Likh de, Lekin Aj ka Hakim toh khul ke Ram Mandir ka Chanda loot rha hai. History ka 1st hakim hai, jis ke name Per gadi mila Usi ko lota. https://t.co/X9Gcs23o90",alamgirizvi,Pro OPP,pro opposition,ram mandir,"[{'text': 'khul', 'score': 0.5995}, {'text': 'history', 'score': 0.3117}, {'text': 'hakim', 'score': 0.1974}]"
4509553,"BREAKING NEWS

Delhi Govt Cabinet meeting under @ArvindKejriwal approves and adds Ayodhya Ram Mandir into the list of Religious Places under ""Mukhya Mantri Teerth Yatra Yojana""

Now Delhi residents can go to Ram Mandir, Ayodhya FREE of cost with all arrangements.

#JaiShriRam",DaaruBaazMehta,Pro OPP,pro opposition,ram mandir,"[{'text': 'ayodhya', 'score': 0.5891}, {'text': 'cabinet', 'score': 0.1851}, {'text': 'cost', 'score': 0.0507}]"
35875,"✅CAA
✅Triple Talaq
✅Ram Mandir
✅Surgical Strikes
✅Curbing Terrorism 
✅Curbing Naxalites
✅Isolation of Pakistan
✅Removal of Article 370
✅De-registered 14,800 NGOs
✅Gave Chinese a bloody nose in Galwan

Meanwhile a Hyper Ultra RW tweeted - 
""Modi should show some Spine""",rishibagree,Pro Ruling,pro ruling,ram mandir,"[{'text': 'terrorism', 'score': 0.4873}, {'text': 'chinese', 'score': 0.3936}, {'text': 'tweeted', 'score': 0.2399}]"
972290,"BURNOL M😂MENT.

The Allahabad High Court dismissed the PIL seeking a stay on the bhumi poojan ceremony of Ram Mandir in Ayodhya.

The court called it baseless as it was based on a mere assumption that PM Modi &amp; CM Yogi will be flouting the social-distancing norms by being there.",AsYouNotWish,Pro Ruling,pro ruling,ram mandir,"[{'text': 'dismissed', 'score': 0.4646}, {'text': 'ayodhya', 'score': 0.4444}, {'text': 'seeking', 'score': 0.0694}]"
3469497,"Wow😳

Today,
Sh!v Sena is on 
SAME PAGE
with
H!nduph0bic
ant!-Ram Mandir🛕 
Rana Ayyub
who wanted
Balasaheb Thackeray
ARRESTED? 

Is this what Uddhavji promised 
Balasaheb? 

H!ndus &amp; true followers of Balasaheb will teach Sh!v Sena a lesson in the upcoming BMC polls🤨🤨 https://t.co/f64OvV8JsH",pallavict,Pro Ruling,pro ruling,ram mandir,"[{'text': 'balasaheb', 'score': 0.615}, {'text': 'ant', 'score': 0.2394}, {'text': 'nduph0bic', 'score': 0.1243}]"
608855,"#RamMandir bhoomipujan reminds me of those violent days...Ram Rathyatra, riots, Babri demolition, once again communal carnage, bomb blasts..Culprits are still roaming free or will attend bhoomipujan ceremony. I don’t know what are people celebrating? Death of a secular nation?",waglenikhil,Pro OPP,pro opposition,ram mandir,"[{'text': 'celebrating', 'score': 0.5381}, {'text': 'ram', 'score': 0.2386}, {'text': 'culprits', 'score': 0.1809}]"
979829,Irony dies every day that @asadowaisi and his ex-Razakar supporters speak. People who hold #Shariah higher than #Constitution openly talking of #Modi against it for going to #RamMandir pujan!!,RatanSharda55,Pro Ruling,pro ruling,ram mandir,"[{'text': 'shariah', 'score': 0.6606}, {'text': 'irony', 'score': 0.3661}, {'text': 'constitution', 'score': 0.1823}]"
3029109,Went to sleep reading story of an old widow’s samrpan for Ram Mandir and started day by reading news of young child giving ₹10 for #RamMandir from his Piggy Bank... Jai Shri Ram... https://t.co/1jGLrpKWAm,nanditathhakur,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ram', 'score': 0.5109}, {'text': 'sleep', 'score': 0.3165}, {'text': 'widow', 'score': 0.2754}]"
