source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
4288565,"The cases filed against the #farmers in #Hisar on May 16 following their protest against the Centre's 3 #farmlaws will be withdrawn, it was decided in a meeting between the Sanyukt Kisan Morcha &amp; the district admin after another large demonstration in the Haryana town on Monday. https://t.co/xxMs1zGaDD",ians_india,Pro OPP,pro opposition,farm laws,"[{'text': 'withdrawn', 'score': 0.4753}, {'text': 'farmers', 'score': 0.3781}, {'text': 'meeting', 'score': 0.1626}]"
7076389,🔸Punjab Govt implementing Modiji Govt’s farm laws? https://t.co/h5Onk5vPqr,KreatelyMedia,Pro Ruling,pro ruling,farm laws,"[{'text': 'farm', 'score': 0.4842}, {'text': 'laws', 'score': 0.3705}, {'text': 'implementing', 'score': 0.3561}]"
2515748,"Watch | At heavily fortified Singhu border, even media's entry has now been restricted. NDTV's Saurabh Shukla reports from ground zero #FarmersProtest #FarmLaws https://t.co/Na65Kqohkk",ndtv,Pro OPP,pro opposition,farm laws,"[{'text': 'restricted', 'score': 0.4338}, {'text': 'farmers', 'score': 0.3447}, {'text': 'saurabh', 'score': 0.2771}]"
3462563,"While Congress trying hard to mislead Farmers on New Farm Laws,

Assam telling by example how New Farm Laws are helpful for Farmers. https://t.co/IFbbFfWARj",PoliticalKida,Pro Ruling,pro ruling,farm laws,"[{'text': 'farmers', 'score': 0.4924}, {'text': 'congress', 'score': 0.3467}, {'text': 'assam', 'score': 0.2794}]"
247238,"‘Hum Pichhli shatabdi ke kanoon se nay shatabdi nahin bana sakte..’ Listen carefully to what PM @narendramodi said today. Not only is roll back of farm laws not going to happen, it seems next few years will see some definitive reforms being rolled out .  https://t.co/neKkUqGPcT",sunandavashisht,Pro Ruling,pro ruling,farm laws,"[{'text': 'reforms', 'score': 0.5775}, {'text': 'farm', 'score': 0.4469}, {'text': 'narendramodi', 'score': 0.3118}]"
2048064,"Dushyant Dave : Your lordship asked why old men and women in protest. No body has brought them. People are coming on their own. It is a question of their very existence.

#FarmersProtests
#FarmLaws 
#SupremeCourt",LiveLawIndia,Pro OPP,pro opposition,farm laws,"[{'text': 'protest', 'score': 0.3863}, {'text': 'farm', 'score': 0.3857}, {'text': 'existence', 'score': 0.2262}]"
105000,"Massive support for farmers, recieved 2000 liters milk, everyone is contributing ! #FarmersProtests #FarmLaws https://t.co/lYS0eZYGso",ramanmann1974,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.5186}, {'text': 'milk', 'score': 0.4633}, {'text': 'protests', 'score': 0.3122}]"
1702232,"Haryana police have filed a case against 13 farmers on charges including attempt to murder and rioting after a group of peasants protesting against the Centre's new farm laws had allegedly blocked and hurled sticks at chief minister M.L. Khattar's convoy
https://t.co/VD05cwLHSx",ttindia,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.4236}, {'text': 'haryana', 'score': 0.288}, {'text': 'charges', 'score': 0.2463}]"
2405418,Are news channels running shrill headlines screaming ‘Setback to Modi govt’ after SC’s decision to stay the implementation of the farm laws today? Imagine what the headlines would have been had the SC taken a similar decision in an opposition ruled state!,rohini_sgh,Pro OPP,pro opposition,farm laws,"[{'text': 'headlines', 'score': 0.4587}, {'text': 'setback', 'score': 0.2273}, {'text': 'farm', 'score': 0.1779}]"
3107181,"Delhi Police put notice outside #BKU’s #RakeshTikait’s tent at #GhazipurBorder 
#FarmersProtest #FarmLaws
https://t.co/IThLsRDlU1",NH_India,Pro OPP,pro opposition,farm laws,"[{'text': 'tent', 'score': 0.4102}, {'text': 'farmers', 'score': 0.3437}, {'text': 'police', 'score': 0.3184}]"
1874005,This government’s inability to draft a proper law is astonishing. The new IT/media rules are being challenged by much of news media besides by social platforms separately.The farm laws were half baked. CAA and GST were full of problems. Who drafts these new laws for Modi govt?,mkvenu1,Pro OPP,pro opposition,farm laws,"[{'text': 'government', 'score': 0.4715}, {'text': 'drafts', 'score': 0.1856}, {'text': 'farm', 'score': 0.1043}]"
165742,"Lol Home Minister @AmitShah has listed his profession as ""farmer"" in his Lok Sabha bio.

It is ""farmers"" like him who the Modi govt claims are happy with the new Farm Laws. https://t.co/bESk8rTQSp",SaketGokhale,Pro OPP,pro opposition,farm laws,"[{'text': 'farmer', 'score': 0.6811}, {'text': 'happy', 'score': 0.2073}, {'text': 'govt', 'score': 0.2017}]"
1738140,Sharjeel Imam is a Human Right Activist as per alleged farmers protesting over #FarmLaws https://t.co/ooC5Zmn1K9,dhaval241086,Pro Ruling,pro ruling,farm laws,"[{'text': 'activist', 'score': 0.4715}, {'text': 'farmers', 'score': 0.449}, {'text': 'sharjeel', 'score': 0.3907}]"
757530,"It is the 21'st day of #FarmerProtest, and reinforcements are still arriving ! #FarmLaws https://t.co/BUhftLNqiZ",ramanmann1974,Pro OPP,pro opposition,farm laws,"[{'text': 'farm', 'score': 0.5306}, {'text': 'protest', 'score': 0.51}, {'text': 'arriving', 'score': 0.2318}]"
2188068,"The reason of today's situation is unethical #FarmLaws2020 

These farm laws are against farmers. Let's discuss those laws.",BhavikaKapoor5,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.559}, {'text': 'unethical', 'score': 0.4635}, {'text': 'discuss', 'score': 0.1413}]"
3824194,"Mittrronn let's turn the current Parliament into a Museum of Democracy, because fascists never want #TooMuchDemocracy 

Modi needed a Parliament session in September (at the height of Covid) to steamroll his Farm Laws for cronies, but not now for their repeal. #ModiFailsIndia https://t.co/eXVuuCmfrg",geetv79,Pro OPP,pro opposition,farm laws,"[{'text': 'parliament', 'score': 0.5614}, {'text': 'fascists', 'score': 0.4624}, {'text': 'steamroll', 'score': 0.1229}]"
2812873,"#ModiBuildBridgesNotWalls

Modi relies on one-sided pious monologues. Dialogue is beyond this arrogant man. 
Forget the ""Talks"" 
Repeal the farm laws. https://t.co/Di8qdgRDGR",geetv79,Pro OPP,pro opposition,farm laws,"[{'text': 'dialogue', 'score': 0.3394}, {'text': 'farm', 'score': 0.3106}, {'text': 'bridges', 'score': 0.2347}]"
8012174,"UCC
Removal of Waqf
Give Mandir to Hindus
Reimplementation of Farm Laws

and no backing out from the above will be enough to get 300+ in 2024 for BJP and ModiJi",JaipurDialogues,Pro Ruling,pro ruling,farm laws,"[{'text': 'hindus', 'score': 0.4699}, {'text': 'waqf', 'score': 0.3792}, {'text': 'removal', 'score': 0.2944}]"
1802022,"#Verified

👉Apart from richness at #FarmersProtest which has left haters envious, a big factor has been humble funding from farmers themselves

👉This farmer here is frying pakodas at Tikri

👉He tells me, 'with these farm laws, we'll be forced to quit farming &amp; sell pakodas' 👇 https://t.co/iFEqgQWqSY",saahilmenghani,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.5928}, {'text': 'quit', 'score': 0.3255}, {'text': 'protest', 'score': 0.2561}]"
2110938,"Poor chaps. Caught in a cleft.
Between sacrilege of Guru Granth Sahib and previous support for farm laws. https://t.co/AEN7IeGYPb",manaman_chhina,Pro OPP,pro opposition,farm laws,"[{'text': 'sahib', 'score': 0.6077}, {'text': 'poor', 'score': 0.4235}, {'text': 'caught', 'score': 0.24}]"
2183250,Talked to a farmer leader of UP west. He told me that although the farm laws are repealed but still no one is happy with Modi as he could have done this earlier. He also thanked Congress party for standing with farmers.,thispodcastguy,Pro OPP,pro opposition,farm laws,"[{'text': 'farmer', 'score': 0.5465}, {'text': 'repealed', 'score': 0.2763}, {'text': 'party', 'score': 0.1507}]"
4022497,What the #farmers are demanding is a jettisoning of #ModiGovt’s neo-liberal agenda in the matter of the encroachment of monopoly capital into the sphere of petty production. #FarmersProtest #FarmLaws https://t.co/YJiERwPKuQ,NH_India,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.599}, {'text': 'protest', 'score': 0.3076}, {'text': 'jettisoning', 'score': 0.1783}]"
4516750,#RajyaSabha proceedings interrupted on 3rd day of #Budgetsession; adjourned for the second time till 11.30 am after opposition creates ruckus over farm laws. 4 important legislation on the agenda of the Upper House. #LokSabha to take up Motion of Thanks to the President's Address,DDNewslive,Pro Ruling,pro ruling,farm laws,"[{'text': 'adjourned', 'score': 0.4835}, {'text': 'opposition', 'score': 0.3001}, {'text': 'farm', 'score': 0.2783}]"
3418688,"On #FarmLaws2020 &amp; #CJIBobde seemingly good day in the office, I shall hold my peace till the order is out. Do not like the concept of “on hold” or a “select committee” because @narendramodi &amp; @AmitShah are notoriously talented at stacking the deck. Need #RepealThreeFarmActs",nandtara,Pro OPP,pro opposition,farm laws,"[{'text': 'repeal', 'score': 0.4656}, {'text': 'farmlaws2020', 'score': 0.4208}, {'text': 'narendramodi', 'score': 0.3994}]"
2309632,"Farmers Protests : Supreme Court to consider today a batch of petitions seeking removal of protesting farmers from Delhi borders. Another set of petitions challenging the 3 farm laws are also listed before the bench headed by the CJI.

#FarmersProtests 
#FarmLaws https://t.co/3UwOGoZ4RN",LiveLawIndia,Pro OPP,pro opposition,farm laws,"[{'text': 'petitions', 'score': 0.4765}, {'text': 'farmers', 'score': 0.4283}, {'text': 'removal', 'score': 0.173}]"
1995940,"PM Modi hs not done justice to the food givers of the nation
Passing the farm laws; death warrants to farmers, Modi govt has ruined the lives of farmers &amp; prosperity of farming

#ModiRuined_FarmersFarming",Kisanektamorcha,Pro OPP,pro opposition,farm laws,"[{'text': 'farming', 'score': 0.4302}, {'text': 'death', 'score': 0.1799}, {'text': 'warrants', 'score': 0.1552}]"
373688,"Intentions, policies of Centre are towards welfare of farmers: #NarendraSinghTomar All India Kisan Coordination Committee members

#FarmersProtests #FarmLaws 

https://t.co/ox4Vde93cE",ZeeNewsEnglish,Pro Ruling,pro ruling,farm laws,"[{'text': 'farmers', 'score': 0.5968}, {'text': 'protests', 'score': 0.2595}, {'text': 'welfare', 'score': 0.2508}]"
2049288,"The government's decision to send a 5 page explainer on India's farm laws to the British MP from Leicester appears to contradict its contention that these are ""internal matters"" of India and not up for discussion abroad. https://t.co/0pG2TgrBes",suhasinih,Pro OPP,pro opposition,farm laws,"[{'text': 'india', 'score': 0.4509}, {'text': 'contradict', 'score': 0.3292}, {'text': 'farm', 'score': 0.2345}]"
2395672,"Forcibly enacting unconstitutional &amp; unjust farm laws is a clear instance of undemocratic functioning by Modi govt
On top of which anti- farmer govt is making every dirty effort to suppress farmers' voice
Why #तानाशाह_मोदी_किसान_विरोधी ?",Kisanektamorcha,Pro OPP,pro opposition,farm laws,"[{'text': 'undemocratic', 'score': 0.5649}, {'text': 'farmers', 'score': 0.5135}, {'text': 'voice', 'score': 0.038}]"
