source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
3655815,BJP May Fear Short Term Electoral Consequences Of Caste Census But It Will Help Hindutva In Long Run. @TheJaggi  https://t.co/gsQqGyj0Lc,prasannavishy,Pro Ruling,pro ruling,hindutva,"[{'text': 'hindutva', 'score': 0.5237}, {'text': 'electoral', 'score': 0.455}, {'text': 'fear', 'score': 0.2268}]"
1921057,"Join me on twitter space where I discuss future of Hindutva in India Politics
https://t.co/S1XbnsF9cp",DuttYogi,Pro Ruling,pro ruling,hindutva,"[{'text': 'hindutva', 'score': 0.6387}, {'text': 'politics', 'score': 0.346}, {'text': 'future', 'score': 0.2833}]"
8080770,"@ashoswai Modi ecosystem &amp; hindutva gang tried hard to pretend  in front of West that they are democratic, but, eventually exposed themselves. 

World is a global village, and now, India is on the watchlist for wrong reasons when G20 year is there. 

What Modi &amp; company do not understand… https://t.co/Ufbe4rCSzw",BhavikaKapoor5,Pro OPP,pro opposition,hindutva,"[{'text': 'india', 'score': 0.5047}, {'text': 'g20', 'score': 0.3204}, {'text': 'democratic', 'score': 0.3069}]"
2114901,"Following online abuse and open threats from BJP leaders, Dabur India withdrew an ad showing a same-sex couple preparing for their first Karwa Chauth.

Hindutva supporters claimed the ad demeans the Hindu conception of marriage.

#HeartlandHatewatch

https://t.co/bwslQDIYsh",thewire_in,Pro OPP,pro opposition,hindutva,"[{'text': 'hindutva', 'score': 0.4725}, {'text': 'couple', 'score': 0.4031}, {'text': 'withdrew', 'score': 0.3604}]"
145435,"Great thread... no one takes ""True Indology"" seriously except Hindutva and its violent troll army... they genuinely believe India had chariots in 5000 BCE .... and that Aryans left India to populate America, which is why Native Americans are called ""Indians"" ... (i am serious) https://t.co/3bIiOUnNh2",devduttmyth,Pro OPP,pro opposition,hindutva,"[{'text': 'indians', 'score': 0.6182}, {'text': 'troll', 'score': 0.1084}, {'text': 'thread', 'score': 0.0924}]"
7394246,"Uddhav’s wife Rashmi Thackeray also talked to Shinde on call but he is firm that he won’t compromise on Hindutva.

Follow our handle for more political updates.",NewsArenaIndia,Pro Ruling,pro ruling,hindutva,"[{'text': 'hindutva', 'score': 0.4877}, {'text': 'thackeray', 'score': 0.2933}, {'text': 'firm', 'score': 0.0753}]"
410172,"When Hindutva is in favour of a Rubika Liyaquat &amp; Muslms stand by a Swara Bhasker, it isn't just about religion.",Pun_Starr,Pro OPP,pro opposition,hindutva,"[{'text': 'hindutva', 'score': 0.6503}, {'text': 'bhasker', 'score': 0.2474}, {'text': 'just', 'score': 0.155}]"
1989884,"Narendra Modi only reminded me that I’m a Hindu, it was Rahul Gandhi that ensured I know that I’m not just a Hindu but also a staunch Hindutva.

Rahul - 1; Modi - 0",moronhumor,Pro Ruling,pro ruling,hindutva,"[{'text': 'hindu', 'score': 0.6959}, {'text': 'reminded', 'score': 0.2825}, {'text': 'only', 'score': 0.1938}]"
6685831,"Who about his own father like this? Merely to justify his unholy alliance with Congress &amp; NCP (Balasaheb was staunchly against this) today Uddhav ji calls Balasaheb “naive” “gullible” &amp; himself shrewd! 

Balasaheb was, is &amp; will be a Tiger of Hindutva ALWAYS 

1/2 https://t.co/9ZbhaB9CBF",Shehzad_Ind,Pro Ruling,pro ruling,hindutva,"[{'text': 'balasaheb', 'score': 0.4792}, {'text': 'naive', 'score': 0.2441}, {'text': 'congress', 'score': 0.1864}]"
7470029,"Hindutva brigade hate politics on the ground.
#BJPHateFactory on the net &amp; by #DalalGodiMedia 

Election between 80% vs 20% claims failed Bisht. Only about 20% Sanghis support hate mongering #BharatJalaoParty.
Rest 80% real, peaceful Hindus oppose BJP. 
 
https://t.co/acFfTn95oh",geetv79,Pro OPP,pro opposition,hindutva,"[{'text': 'hindus', 'score': 0.4463}, {'text': 'election', 'score': 0.2711}, {'text': 'failed', 'score': 0.1863}]"
